SCENE ID,START TIME,END TIME
"meta: 0--5","00:00:00","00:03:00"
"5","00:03:00","00:03:14"
"6","00:03:14","00:03:30"
"7","00:03:30","00:03:34"
"8","00:03:34","00:07:26"
"9","00:07:26","00:08:25"
"10","00:08:25","00:08:52"
"meta: 10--14","00:08:52","00:08:55"
"14","00:08:55","00:09:08"
"meta: 14--17","00:09:08","00:09:20"
"17","00:09:20","00:10:09"
"meta: 17--21","00:10:09","00:10:16"
"21","00:10:16","00:11:51"
"22","00:11:51","00:18:29"
"meta: 22--27","00:18:29","00:18:39"
"27","00:18:39","00:18:43"
"meta: 27--32","00:18:43","00:18:48"
"32","00:18:48","00:18:48"
"33","00:18:48","00:18:53"
"34","00:18:53","00:18:53"
"35","00:18:53","00:19:18"
"meta: 35--37","00:19:18","00:19:26"
"37","00:19:26","00:20:04"
"38","00:20:04","00:22:09"
"meta: 38--40","00:22:09","00:24:15"
"40","00:24:15","00:24:29"
"41","00:24:29","00:25:19"
"42","00:25:19","00:25:49"
"43","00:25:49","00:34:00"
"meta: 43--45","00:34:00","00:34:09"
"45","00:34:09","00:34:29"
"meta: 45--47","00:34:29","00:34:39"
"47","00:34:39","00:45:06"
"meta: 47--49","00:45:06","00:45:26"
"49","00:45:26","00:49:24"
"50","00:49:24","00:49:34"
"meta: 50--53","00:49:34","00:50:28"
"53","00:50:28","00:51:19"
"meta: 53--55","00:51:19","00:51:41"
"55","00:51:41","00:52:00"
"meta: 55--58","00:52:00","00:52:08"
"58","00:52:08","00:52:30"
"59","00:52:30","00:52:56"
"meta: 59--62","00:52:56","00:53:13"
"62","00:53:13","00:53:23"
"63","00:53:23","00:53:37"
"meta: 63--66","00:53:37","00:53:47"
"66","00:53:47","00:59:53"
"67","00:59:53","01:02:06"
"meta: 67--69","01:02:06","01:02:09"
"69","01:02:09","01:02:13"
"70","01:02:13","01:02:47"
"meta: 70--72","01:02:47","01:02:52"
"72","01:02:52","01:03:06"
"73","01:03:06","01:03:06"
"74","01:03:06","01:03:11"
"meta: 74--78","01:03:11","01:03:24"
"78","01:03:24","01:04:36"
"meta: 78--80","01:04:36","01:04:42"
"80","01:04:42","01:05:08"
"meta: 80--82","01:05:08","01:05:11"
"82","01:05:11","01:05:27"
"meta: 82--85","01:05:27","01:07:44"
"85","01:07:44","01:08:00"
"86","01:08:00","01:08:3"
"87","01:08:03","01:08:06"
"meta: 87--90","01:08:06","01:08:09"
"90","01:08:09","01:08:12"
"meta: 90--98","01:08:12","01:08:16"
"98","01:08:16","01:08:18"
"meta: 98--101","01:08:18","01:08:21"
"101","01:08:21","01:08:25"
"meta: 101--103","01:08:25","01:08:29"
"103","01:08:29","01:08:33"
"meta: 103--105","01:08:33","01:10:28"
"105","01:10:28","01:23:47"
"meta: 105--109","01:23:47","01:24:43"
"109","01:24:43","01:25:46"
"meta: 109--113","01:25:46","01:26:14"
"113","01:26:14","01:27:48"
"meta: 113--115","01:27:48","01:27:54"
"115","01:27:54","01:27:58"
"meta: 115--118","01:27:58","01:28:04"
"118","01:28:04","01:28:16"
"meta: 118--121","01:28:16","01:28:19"
"121","01:28:19","01:28:25"
"122","01:28:25","01:28:40"
"meta: 122--124","01:28:40","01:28:44"
"124","01:28:44","01:28:46"
"meta: 124--130","01:28:46","01:28:53"
"130","01:28:53","01:28:53"
"meta: 130--134","01:28:53","01:29:01"
"134","01:29:01","01:29:24"
"meta: 134--139","01:29:24","01:29:28"
"139","01:29:28","01:30:31"
"meta: 139--143","01:30:35","01:30:39"
"143","01:30:39","01:30:45"
"144","01:30:45","01:38:04"
"meta: 144--151","01:38:04","01:38:28"
"151","01:38:28","01:38:32"
"meta: 151--156","01:38:32","01:38:51"
"156","01:38:51","01:38:57"
"meta: 156--159","01:38:57","01:39:14"
"159","01:39:14","01:39:24"
"meta: 159--162","01:39:24","01:39:27"
"162","01:39:27","01:39:55"
"163","01:39:55","01:40:02"
"meta: 163--168","01:40:02","01:40:32"
"168","01:40:32","01:40:32"
"169","01:40:32","01:43:04"
"meta: 169--173","01:43:04","01:44:03"
"173","01:44:03","01:44:06"
"meta: 173--175","01:44:06","01:44:09"
"175","01:44:09","01:44:11"
"meta: 175--178","01:44:11","01:44:17"
"178","01:44:17","01:44:21"
"meta: 178--180","01:44:21","01:44:23"
"180","01:44:23","01:44:26"
"181","01:44:26","01:44:33"
"meta: 181--184","01:44:33","01:44:42"
"184","01:44:42","02:10:48"
