"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"53","master","[184,144,5,47,49,7,8,35,9,105,50,55,53,80]","[931,941,971,895,913,912,917,858,871,869,795,777,1010,763,1001,1016,1,322,320,297,306,304,303,353,330,405,20,23,119,90,160,164,170,157,192,204,588,585,592,634,640,636,669,671,682,750,408,434,433,431,493,499,524,528,517,512,520,518,532,535,575,578,565,570]"
"54","chancellor","[184,144,5,47,43,49,35,9,8,105,53,50,66,80]","[915,826,846,849,875,808,809,812,751,760,1,282,274,251,261,262,264,317,323,301,349,358,327,333,338,339,342,398,403,402,369,116,92,74,161,168,152,132,216,213,219,200,196,208,181,586,584,591,642,747,428,429,425,420,461,492,490,479,500,494,580,558]"
"55","made","[184,144,47,5,66,80,105]","[972,966,782,374,1,455,499,532]"
"56","droid","[184,47,8,5,80]","[872,313,311,28,21,1,503]"
"57","droids","[47,8,5,35,9,144,50,66]","[316,40,28,21,2,110,85,70,68,137,680,415,414,453,445,470,464]"
"58","left","[184,8,5,35]","[919,831,59,47,52,44,28,4,158]"
"59","break","[8,5,105]","[59,52,46,4,538]"
"60","worry","[47,5,35,105,144,55,80]","[361,329,6,222,602,712,436,504]"
"61","anakin","[184,144,47,49,8,5,35,43,105,50,66,55,80]","[942,962,960,958,954,903,893,914,906,910,922,920,843,848,865,859,862,793,795,797,994,284,276,289,285,323,321,299,343,345,348,351,359,364,325,329,333,335,339,387,404,368,374,379,377,53,42,31,7,104,81,79,77,69,158,159,166,168,149,152,154,138,147,126,130,135,236,240,234,215,226,199,211,203,181,178,189,583,594,600,598,614,612,604,636,650,649,654,653,658,659,661,696,693,700,697,705,719,720,722,413,444,435,492,489,485,481,500,511,505,529,513,539,553,533,538,536,581,557,564,569]"
"62","head","[47,8,5,9]","[354,61,47,30,8,88]"
"63","artoo","[184,8,7,5,6,35,9]","[820,54,56,49,41,20,10,9,8,18,13,115,99,92,87,85,84,67,66,164,144,193]"
"64","room","[144,5,105]","[764,12,623,710]"
"65","flies","[5]","[14]"
"66","time","[184,144,47,8,6,35,105,50,49,55,66,80]","[934,966,884,840,839,850,866,767,1011,316,321,309,24,19,120,122,107,148,138,135,134,583,598,677,688,714,416,407,437,454,527,538,577,570]"
"67","ship","[184,8,7,6,35,9,144,66]","[892,867,820,55,20,19,106,99,88,74,61,138,191,179,181,738,462,455]"
"68","general","[144,43,47,49,8,7,35,105,66,80]","[765,766,770,248,317,307,359,397,400,27,20,172,246,591,639,450,461,464,491,504]"
"69","ball","[8]","[24]"
"70","squad","[8,35]","[26,191]"
"71","attack","[144,47,8,35,80]","[788,314,313,27,142,491]"
