"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"1","ANAKIN","[9,8,5,6,49,47,43,35,80,53,105,184,144]","[266,264,274,272,270,268,295,297,293,299,279,281,276,287,290,283,285,197,179,185,186,183,188,193,191,228,230,232,234,218,220,222,224,226,401,400,395,392,388,386,384,382,379,377,375,373,371,431,427,430,424,426,333,331,337,335,325,323,329,327,317,315,321,319,309,313,364,366,369,355,358,360,362,351,353,339,503,505,499,501,511,513,507,509,519,521,515,517,528,527,530,523,525,537,538,535,536,533,541,539,554,552,551,549,547,560,558,556,477,475,481,479,486,5,483,628,630,656,659,571,573,575,577,563,565,567,569,588,590,592,594,584,586,606,610,608,598,596,602,600,622,620,626,624,614,612,618,616,756,744,746,740,739,742,751,753,748,750,934,3,2,1,105,104,102,100,110,107,90,88,86,83,98,92,71,73,69,79,81,75,77,55,57,53,63,66,60,59,165,163,169,170,167,177,175,150,148,153,157,155,132,134,137,139,141,143,146,115,120,122,124,125,127,129,44,50,49,47,38,36,42,40,30,28,34,32,21,26,23,11,14,13,16,6,10]"
"2","OBI-WAN","[9,8,5,6,47,43,35,66,53,55,49,105,80,144,184]","[265,263,273,271,269,267,304,302,275,277,198,196,195,201,206,204,210,208,182,180,184,189,190,187,192,212,214,216,402,394,432,434,428,429,425,334,332,338,336,326,324,330,328,318,316,322,320,308,314,349,340,341,344,346,544,542,436,438,441,443,445,447,448,456,460,462,463,4,497,639,642,635,637,633,653,654,647,649,644,646,578,580,582,805,811,815,788,790,793,777,782,779,786,784,758,760,765,763,767,768,935,919,921,909,907,913,911,901,905,903,897,896,859,855,858,851,847,845,841,838,836,1012,985,983,982,980,989,987,1001,998,1010,1008,1006,1003,951,954,947,949,967,969,975,103,101,99,113,109,108,89,87,85,84,97,93,91,72,74,67,68,70,80,82,76,78,56,58,54,64,65,62,61,164,174,171,172,178,176,149,147,154,152,156,161,159,142,145,46,45,43,48,37,35,41,39,29,27,33,31,22,19,24,12,15,17,8,7,9]"
"3","ODD BALL (OS)","[8,6,7]","[18,25,20,51]"
"4","CLONE PILOT 2","[8,35,144]","[678,798,800,52,136]"
"5","GENERAL GRIEVOUS","[43,10,35,66,80]","[236,238,240,242,453,455,458,457,459,461,464,496,495,96,94,166,168,158,162,135]"
"6","CAPTAIN","[10]","[95]"
"7","BATTLE DROID","[35]","[106]"
"8","PALPATINE","[47,49,43,35,80,66,144,122,105,184]","[243,291,280,282,278,288,289,284,286,202,200,199,181,194,239,241,389,387,385,383,381,380,378,376,374,372,363,365,367,368,370,356,357,359,361,352,354,546,553,550,548,562,561,559,557,555,465,469,467,473,474,471,478,476,482,480,640,641,636,638,632,631,634,627,629,655,657,658,651,652,648,650,643,645,674,670,668,667,665,663,661,660,681,677,676,572,574,576,564,566,568,570,587,589,591,593,585,605,604,603,609,607,597,595,601,599,621,619,625,623,613,611,617,615,817,797,773,771,769,939,941,943,931,932,924,926,927,863,865,829,828,827,825,824,823,993,992,996,955,957,111,173,151,160,131,133,138,140,144,119,121,123,126,128,130]"
"9","COUNT DOOKU","[35]","[117,118,116,112,114]"
"10","YODA","[47,35,80,49,50,144,105,184]","[294,305,301,203,209,213,217,398,393,409,403,405,311,348,350,342,493,491,579,581,583,807,816,787,789,791,794,778,776,780,783,730,731,944,933,936,923,925,928,930,929,856,852,854,850,1011,1013,1002,999,997,1009,1007,1005,1004,960,962,958,964,973]"
"11","MACE WINDU","[47,35,80,49,105]","[296,298,292,303,205,207,211,215,399,396,391,407,406,310,307,312,347,343,345,512,514,510,520,522,516,518,524,526,531,485,489,487,494,492]"
"12","PADME","[35,43,66,50,80,105,184,144]","[262,259,247,255,227,229,231,233,219,221,223,225,419,417,411,414,504,506,500,502,508,529,534,532,540,466,468,472,498,755,743,745,741,752,754,747,749,737,738,915,917,899,894,892,886,890,888,860,849,848,846,844,842,840,837,832,830,826,821,819,986,984,981,979,990,988,953,977]"
"13","SUPER BATTLE DROID G21","[43]","[237,235]"
"14","BAIL ORGANA","[43,50,144,184]","[260,250,246,244,258,254,252,423,412,804,806,809,818,792,795,799,802,775,781,785,761,759,736,733,734,710,708,704,884,880,878,871,874,868,857,853,843,839,833,831,822,1014,1016,1000,965,971]"
"15","FANG ZAR","[43,66,50]","[245,421,470]"
"16","MON MOTHMA","[43,50,184]","[261,248,257,253,416,413,882,876,872,869]"
"17","GIDDEAN DANU","[43,50]","[418,256,249]"
"18","TERR TANEEL","[43]","[251]"
"19","KI-ADI-MUNDI","[49,47,80]","[306,300,488,490,404,390,397]"
"20","CLONE COMMANDER GREE","[50,144]","[408,410,682,680]"
"21","BANA BREEMU","[50]","[415,422]"
"22","CHI EEKWAY","[50]","[420]"
"23","CLONE COMMANDER CODY","[80,55,105,144]","[433,545,543,435,437,439,484,762,766,764]"
"24","TION MEDON","[55,66]","[451,449,446,444,442,440]"
"25","BODYGUARD","[66,144,184]","[450,808,810,812]"
"26","PASSEL ARGENTE.","[66]","[452]"
"27","NUTE GUNRAY","[66,144,184]","[454,814,796,835]"
