"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"1","QUI-GON","[172,18,24,22,107,109,105,103,113,134,125,127,135,138,144,141,148,156,150,47,44,48,50,49,51,55,57,59,62,65,66,67,68,69,70,77,72,84,86,102,101,12,11,10,9,4,1,42,35,39,33,34,28,26]","[725,737,746,744,742,740,686,688,690,692,713,675,678,677,633,635,629,631,625,627,621,649,640,642,637,602,600,619,617,615,613,612,610,609,608,568,570,563,526,524,531,541,514,512,522,523,520,518,516,499,497,495,493,505,503,501,480,482,476,478,490,491,484,487,460,462,447,450,449,454,453,458,456,434,443,441,413,417,421,427,398,401,402,404,406,408,411,410,385,383,370,368,366,361,353,337,325,323,321,310,308,306,286,288,290,278,282,283,270,274,207,205,210,215,212,221,226,235,238,242,258,260,144,142,150,161,157,170,178,175,187,182,188,203,87,85,89,83,81,103,100,107,105,95,92,96,119,108,111,133,137,136,139,125,127,129,131,18,16,14,12,43,40,36,45,3,1,1036,792,794,796,843,841,839,845,848,851,858,864,866,869,871,873,875,878,877,880,894,897,917,919,915,925,955,970,960,957,980,982,972,978,1034,1032]"
"2","CAPTAIN","[1]","[2,4,5]"
"3","PK-4","[1,3]","[6,9]"
"4","TC-14","[6,5,3,4]","[10,7,20,23]"
"5","EG-9","[3]","[8]"
"6","OBI-WAN","[113,109,134,135,138,144,141,139,148,47,55,57,61,62,68,72,101,12,10,9,4,44,39,35,28,26,22,24,18,19,181,182,172]","[684,687,611,498,496,494,492,504,502,500,452,384,382,381,342,322,268,272,273,275,224,229,236,240,155,153,148,159,169,176,172,184,193,190,94,99,97,121,123,109,114,135,130,17,15,13,39,37,44,46,11,1067,1065,1069,1071,793,795,791,849,863,865,902,906,904,923,916,918,914,961,1031,1035,1033]"
"7","NUTE","[117,136,135,149,147,152,13,9,7,6,5,39,41,32,25,28,17,172]","[694,243,245,247,251,250,162,168,166,164,179,200,198,78,26,22,19,34,32,30,28,56,58,52,54,49,50,61,63,883,887,885,941,968,964,973,1030,1028,1027,1025]"
"8","DOFINE","[5,176]","[1051,21]"
"9","OWO-1","[6]","[25,24]"
"10","RUNE","[136,152,17,13,11,9,7,41,25]","[252,167,76,27,41,35,33,31,29,48,60,62,888,974]"
"11","P-59","[9]","[38]"
"12","TEY HOW","[13,11,176]","[1050,47,42]"
"13","AMIDALA","[125,134,138,135,146,144,77,14,13,42,41,34,32,180]","[755,760,763,757,765,772,723,721,719,717,710,542,211,219,222,254,256,257,199,57,59,53,55,51,72,75,70,65,1062,780,818,816,827,824,820,835,833,831,829,879,895,898,900,932,934]"
"14","PALPATINE","[123,125,134,136,135,148,147,149,63,14,41,25,180]","[762,768,771,764,766,778,722,720,718,716,724,708,711,389,387,244,246,249,248,163,165,64,1063,788,826,823,830,828,882,886,884,944,942,969,967,963]"
"15","PANAKA","[109,134,138,144,139,148,meta: 162--165,48,57,14,42,39,41,35,33,34,180,meta: 168--172]","[682,680,344,343,277,279,281,206,209,208,214,217,223,237,239,241,253,255,259,74,68,71,66,1061,825,822,834,832,893,896,901,905,922,952,956,1000,1021]"
"16","BIBBLE","[117,61,96,14,33,34,28]","[695,588,380,204,213,218,216,197,73,69,67]"
"17","OOM-9","[117,149,17,32]","[965,77,201,696]"
"18","JAR JAR","[125,134,138,135,144,141,148,44,47,49,55,57,59,65,70,84,93,90,42,43,35,33,26,28,22,24,18,19,21,176,meta: 168--172]","[712,714,564,557,581,577,473,471,418,394,358,336,338,324,328,285,276,271,230,231,232,261,262,264,266,267,147,146,141,154,152,151,149,160,158,156,171,177,173,174,185,186,181,180,183,192,189,191,202,196,86,84,90,91,88,79,82,80,102,101,106,104,93,98,117,110,112,113,115,132,134,1055,819,817,815,821,881,899,921,920,929,924,926,927,950,948,1023]"
"19","CAPT. TARPALS","[144,21]","[930,928,116]"
"20","BOSS NASS","[146,144,148,21,22]","[145,143,140,118,120,122,138,124,126,128,936,933,931,949,947,940,958]"
"21","BATTLE DROID 3B3","[28]","[195,194]"
"22","PADME","[117,118,109,139,148,146,meta: 162--165,156,48,49,51,55,57,59,60,65,66,72,77,84,86,95,101,42,34,180,meta: 168--172,172]","[697,699,701,703,705,681,606,569,571,558,582,535,539,537,510,508,506,430,435,433,415,419,395,376,373,362,355,340,317,315,313,302,300,295,298,284,280,220,263,265,1060,912,908,910,937,938,939,935,954,953,951,962,959,977,999,1029,1022,1020]"
"23","DROID GUARD","[35]","[225,227]"
"24","RIC OLIE","[121,139,137,156,44,39,35,176,meta: 165--168]","[706,269,228,234,233,1058,1053,890,892,903,993,995,1013,1011]"
"25","WATTO","[51,55,66,67,77,101]","[603,601,599,527,525,528,529,515,513,511,521,519,517,446,444,451,448,438,436,442,440,319,311,309,307,305,293,287,289,291]"
"26","ANAKIN","[105,107,103,102,104,121,118,109,113,134,125,135,137,136,139,148,meta: 162--165,156,150,51,55,57,meta: 57--59,59,60,65,66,67,69,70,77,72,84,101,174,176,182,meta: 165--168,meta: 168--172,172]","[753,750,761,759,758,685,689,691,693,698,700,702,704,707,715,653,659,657,663,660,667,665,670,669,674,672,679,676,632,634,628,626,622,623,651,644,646,641,636,639,638,616,614,607,604,559,561,538,530,555,540,509,507,481,483,477,479,488,486,465,463,472,475,470,445,428,432,439,437,412,414,416,422,424,426,397,399,400,403,405,407,409,393,391,377,374,372,367,365,360,363,357,356,352,354,349,350,345,347,341,339,332,334,335,330,329,318,316,320,314,312,303,301,304,292,294,297,296,299,1059,1042,1038,1037,1048,1049,1046,1047,1044,1045,1070,801,803,797,799,809,811,807,813,867,868,870,872,874,876,891,889,907,913,909,911,946,971,981,983,985,984,987,986,979,996,997,998,1001,1002,1003,988,989,990,991,992,1015,1014,1019,1018,1017,1016,1007,1006,1005,1004,1010,1009,1008]"
"27","VENDOR","[55]","[326]"
"28","SEBULBA","[57,84]","[331,327,333,560]"
"29","JIRA","[105,57,59]","[346,351,348,673,671]"
"30","SHMI","[105,104,103,59,65,69,72,84,85,101]","[662,661,666,664,668,630,624,648,650,645,647,643,605,567,554,489,485,461,455,459,457,431,429,420,423,425,396,392,390,371,369,364,359]"
"31","THREEPIO","[104,60,77,95]","[375,379,378,533,532,583,652,654]"
"32","DARTH MAUL","[149,147,152,63]","[975,966,943,386,388]"
"33","KITSTER","[104,70,69,77]","[655,658,656,534,536,464,474,466]"
"34","WALD","[102,70]","[467,620]"
"35","AMEE","[70]","[468]"
"36","SEEK","[70]","[469]"
"37","B","[81,80,87,89,85,90,93,96,meta: 96--100,95]","[598,596,594,592,591,589,566,584,572,575,574,576,578,551,549,543,547,545]"
"38","A","[81,80,87,84,93,96,meta: 96--100,95]","[597,595,593,590,565,585,586,573,579,550,548,552,546,544]"
"39","JABBA","[84,81]","[553,562,556]"
"40","FANTA","[93]","[580]"
"41","ODY","[95]","[587]"
"42","GREEDO","[102]","[618]"
"43","PILOT","[109]","[683]"
"44","VALORUM","[125,134]","[770,767,777,779,774,709,781,790]"
"45","MACE WINDU","[127,134,182]","[729,726,739,734,732,747,741,1072,1074,802,805,842,840,837,847,853,856,859,861]"
"46","KI-ADI","[127,134]","[731,727,806,855,838]"
"47","YODA","[127,134,181,182]","[748,730,728,738,736,735,733,745,743,1066,1064,1073,1068,800,798,808,810,804,814,812,836,844,846,850,852,854,857,860,862]"
"48","GUARD","[134]","[751,749]"
"49","RABE","[134]","[756,754,752]"
"50","LOTT DOD","[134]","[786,775,773,769]"
"51","AKS MOE","[134]","[776]"
"52","MAS AMEDDA","[134]","[789,782,784]"
"53","BAIL ORGANA","[134]","[783,785]"
"54","ASSEMBLY","[134]","[787]"
"55","GUNGAN LOOKOUT","[147]","[945]"
"56","FIGHTER PILOT","[152]","[976]"
"57","BRAVO TWO","[156,176,meta: 165--168]","[1012,994,1052,1056]"
"58","GENERAL CEEL","[meta: 168--172]","[1024]"
"59","SABE","[172]","[1026]"
"60","BATTLE DROID CAPTAIN","[172]","[1039,1041,1040,1043]"
"61","BRAVO THREE","[176]","[1057,1054]"
