"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"62","captain","[42,48,148,meta: 168--172,meta: 162--165,134,144,1]","[257,278,953,1022,999,831,927,1]"
"63","chancellor","[33,35,12,134,125,180,1]","[203,226,45,764,765,768,718,717,720,822,772,778,780,789,788,783,710,1062,853,826,5]"
"64","federation","[32,39,1,4,12,13,14,42,134,125,148,146,138,135]","[198,236,5,18,45,50,57,68,70,74,258,762,768,770,723,724,778,776,786,952,853,835,828,938,893,879]"
"65","cruiser","[41,3]","[245,8]"
"66","republic","[33,3,65,63,69,67,55,125,127,134,180]","[205,8,413,396,389,462,440,427,307,306,716,728,823,778,1063,835]"
"67","made","[149,118,41,3]","[964,702,252,9]"
"68","master","[39,18,22,24,4,12,72,68,63,51,47,134,104,107,149,148,147,181,172,135,141,182]","[236,97,94,135,130,148,13,10,15,46,492,502,452,386,299,275,737,736,795,791,652,676,966,954,943,1067,1035,1031,868,867,863,918,914,1074,1071]"
"69","center","[55,4]","[319,14]"
"70","yoda","[181,72,4]","[1067,502,15]"
"71","padawan","[4,181,134]","[16,1064,845]"
"72","force","[24,4,5,69,47,134,127,103,84,135,138,181]","[151,16,21,460,274,737,764,735,734,772,631,563,869,873,862,838,851,830,893,1069]"
"73","moment","[4,77,84,104,138]","[16,511,563,658,893]"
"74","short","[22,4,12,103]","[135,18,46,650]"
"75","jedi","[25,5,7,17,72,65,63,69,55,41,43,134,103,86,105,113,152,149,148,141,139,136,182]","[167,20,27,76,503,410,409,408,401,405,407,388,387,462,458,311,252,267,745,758,812,630,632,633,569,667,693,688,975,967,966,954,919,909,886,1071]"
"76","left","[6,72,55,meta: 165--168,134]","[22,510,321,1004,827]"
"77","blast","[172,9,6,18]","[1043,32,22,109]"
"78","droids","[39,18,22,9,7,11,55,59,42,41,51,134,95,105,156,148,172,139]","[233,100,121,119,35,30,41,36,312,363,362,257,253,290,772,587,675,987,959,961,1030,904]"
"79","close","[28,9,48,152,135]","[193,32,282,973,867]"
"80","shield","[meta: 165--168,176,10,39]","[1013,1056,39,233]"
"81","battle","[11,72,152,148]","[43,507,973,952,953]"
"82","army","[22,21,12,14,72,134,149,148,138]","[119,118,44,74,507,821,964,959,961,953,896]"
"83","valorum","[12,134,125]","[45,765,717,720,822,772,783]"
"84","naboo","[32,22,12,63,41,134,127,149,148,135,146]","[198,120,119,128,122,123,124,45,387,245,767,768,771,733,773,772,779,965,947,866,856,829,933]"
"85","ships","[139,134,156,176,148,152,109,101,41,59,57,51,67,68,65,77,12,39]","[904,833,996,1058,960,976,678,608,247,249,253,353,343,305,441,449,453,415,513,45,235]"
"86","amidala","[25,34,13,41,134,146,144]","[165,210,48,244,771,779,853,937,932]"
"87","queen","[25,13,63,66,61,41,48,127,134,86,118,117,113,149,meta: 168--172,172,146,144,139,135]","[165,164,48,387,434,433,382,244,279,733,732,771,779,570,569,701,694,688,966,967,1024,1028,861,856,853,937,932,912,882]"
"88","pleased","[113,13]","[693,51,50]"
"89","aware","[13,41,134]","[52,55,252,768]"
"90","word","[181,103,13]","[1067,649,53]"
"91","senate","[28,32,34,25,13,14,134,125,118,180,172,136]","[197,198,222,216,164,163,53,58,60,71,768,723,701,716,709,1060,1025,853,835,829,886]"
"92","time","[32,18,21,22,25,13,70,81,77,65,68,67,57,62,48,134,125,103,93,172,meta: 162--165,144,139,135]","[200,89,116,135,163,57,476,547,540,550,534,425,452,444,332,333,385,347,282,770,724,723,795,643,637,579,650,1025,999,853,827,931,930,906,877]"
"93","approval","[13,149,181,134]","[58,968,1067,861]"
"94","move","[34,13,63,134,meta: 96--100,147]","[215,63,387,780,591,942,944]"
"95","panaka","[42,57,14]","[257,344,65]"
"96","turns","[103,14,32]","[630,65,201]"
"97","palpatine","[34,14,134,135]","[216,65,790,822,879]"
"98","invasion","[28,34,25,14,134,117,125]","[197,214,162,69,780,695,716,835]"
"99","finished","[14,72,77,65,60]","[71,506,539,422,372]"
"100","swamp","[149,17]","[964,77]"
"101","moving","[17,81,95,156,134]","[77,551,584,989,855]"
"102","make","[33,34,18,72,65,42,51,44,48,103,104,147,156,139]","[205,214,85,493,424,258,296,272,281,630,653,944,993,912]"
"103","mesa","[28,18,22,21,24,70,84,57,44,43,134,125,146,meta: 168--172,138]","[192,88,86,122,115,146,156,151,471,557,327,328,336,338,271,267,266,815,564,712,940,1024,933,899]"
"104","live","[18,22,55,51,117,135]","[88,145,319,296,695,870]"
"105","stay","[26,34,35,18,70,48,127,103,117,150,156,meta: 165--168,135,134,136]","[170,218,212,229,92,470,282,733,644,696,972,982,980,970,1006,867,858,834,886]"
"106","water","[18]","[94]"
"107","power","[26,39,18,70,68,55,93,84,176,141]","[171,169,234,233,95,476,453,309,578,565,1050,917]"
"108","long","[18,24,72,77,68,55,51,101,117,147,172]","[96,154,509,525,452,312,291,610,696,941,1030]"
"109","gunga","[18]","[102]"
"110","city","[18,121,148,141]","[103,102,706,953,914]"
"111","head","[meta: 96--100,18,26]","[598,103,178]"
"112","back","[26,39,21,18,65,63,55,59,42,51,48,134,101,meta: 96--100,105,180,meta: 165--168,139,138]","[172,173,233,115,106,410,387,323,353,264,293,281,823,608,591,667,668,1060,1006,835,829,830,913,895]"
"113","point","[32,18,57,134,135]","[200,110,341,777,779,864]"
"114","gungans","[19,22,43,134,148,146,144,141]","[113,136,266,819,821,957,953,940,924,917,914]"
"115","tarpals","[144,21]","[927,115]"
"116","control","[34,22,25,39,125,148,meta: 165--168,134,139,137,136]","[218,121,163,243,720,724,959,960,1005,1003,827,904,891,885]"
"117","hand","[55,70,22]","[311,309,308,472,125]"
"118","give","[22,24,125,134,117,105]","[128,159,720,802,694,671]"
"119","great","[25,34,22,77,60,123,104,156,148,meta: 165--168,146,141]","[164,219,139,515,372,708,661,653,985,960,1016,938,919]"
"120","life","[22,24,69,134,101,103,139,136,135]","[142,144,148,459,740,802,611,633,650,827,912,885,873]"
"121","small","[77,24,39]","[528,522,154,236]"
"122","free","[35,24,65,103,105]","[223,160,410,630,640,639,667]"
