SCENE ID,START TIME,END TIME
"1","00:00:00","00:02:20"
"meta: 1--3","00:02:20","00:02:52"
"3","00:02:52","00:02:52"
"4","00:02:52","00:03:41"
"5","00:03:41","00:03:52"
"6","00:03:52","00:05:45"
"7","00:05:45","00:06:15"
"meta: 7--9","00:06:15","00:06:27"
"9","00:06:27","00:06:58"
"10","00:06:58","00:07:13"
"11","00:07:13","00:07:24"
"12","00:07:24","00:07:55"
"13","00:07:55","00:08:59"
"14","00:08:59","00:09:55"
"meta: 14--17","00:09:55","00:10:32"
"17","00:10:32","00:10:36"
"18","00:10:36","00:13:16"
"19","00:13:16","00:13:19"
"meta: 19--21","00:13:19","00:14:29"
"21","00:14:29","00:14:53"
"22","00:14:53","00:17:17"
"meta: 22--24","00:17:17","00:17:31"
"24","00:17:31","00:18:34"
"25","00:18:34","00:19:23"
"26","00:19:23","00:20:33"
"meta: 26--28","00:20:33","00:21:11"
"28","00:21:11","00:21:21"
"meta: 28--32","00:21:21","00:21:42"
"32","00:21:42","00:22:03"
"33","00:22:03","00:23:23"
"34","00:23:23","00:24:09"
"35","00:24:09","00:24:39"
"meta: 35--39","00:24:39","00:26:25"
"39","00:26:25","00:27:06"
"meta: 39--41","00:27:06","00:27:16"
"41","00:27:16","00:28:06"
"42","00:28:06","00:28:59"
"43","00:28:59","00:29:33"
"44","00:29:33","00:29:44"
"meta: 44--47","00:29:44","00:30:18"
"47","00:30:18","00:30:18"
"48","00:30:18","00:31:30"
"49","00:31:30","00:31:30"
"50","00:31:30","00:31:41"
"51","00:31:41","00:33:11"
"meta: 51--53","00:33:11","00:33:13"
"53","00:33:13","00:33:17"
"meta: 53--55","00:33:17","00:33:35"
"55","00:33:35","00:36:04"
"meta: 55--57","00:36:04","00:36:13"
"57","00:36:13","00:37:29"
"meta: 57--59","00:37:29","00:37:37"
"59","00:37:37","00:38:31"
"60","00:38:31","00:39:47"
"61","00:39:47","00:40:01"
"62","00:40:01","00:40:17"
"63","00:40:17","00:40:51"
"meta: 63--65","00:40:51","00:41:04"
"65","00:41:04","00:44:11"
"66","00:44:11","00:44:35"
"67","00:44:35","00:45:54"
"68","00:45:54","00:46:37"
"69","00:46:37","00:47:28"
"70","00:47:28","00:49:11"
"meta: 70--72","00:49:11","00:50:02"
"72","00:50:02","00:51:09"
"meta: 72--77","00:51:09","00:52:16"
"77","00:52:16","00:54:47"
"meta: 77--80","00:54:47","00:55:20"
"80","00:55:20","00:55:27"
"81","00:55:27","00:55:46"
"meta: 81--84","00:55:46","00:57:05"
"84","00:57:05","00:58:03"
"85","00:58:03","00:58:42"
"86","00:58:42","00:58:56"
"87","00:58:56","00:59:02"
"meta: 87--89","00:59:02","01:00:09"
"89","01:00:09","01:00:42"
"90","01:00:42","01:02:01"
"meta: 90--93","01:02:01","01:02:12"
"93","01:02:12","01:02:16"
"meta: 93--95","01:02:16","01:03:02"
"95","01:03:02","01:05:37"
"96","01:05:37","01:06:36"
"meta: 96--100","01:06:36","01:10:20"
"100","01:10:20","01:10:27"
"101","01:10:27","01:11:38"
"102","01:11:38","01:11:50"
"103","01:11:50","01:14:12"
"104","01:14:12","01:14:45"
"105","01:14:45","01:16:04"
"meta: 105--107","01:16:04","01:16:48"
"107","01:16:48","01:16:52"
"108","01:16:52","01:17:12"
"109","01:17:12","01:17:14"
"meta: 109--113","01:17:14","01:17:35"
"113","01:17:35","01:18:03"
"meta: 113--117","01:18:03","01:18:29"
"117","01:18:29","01:18:48"
"118","01:18:48","01:20:21"
"meta: 118--121","01:20:21","01:20:40"
"121","01:20:40","01:20:44"
"meta: 121--123","01:20:44","01:21:22"
"123","01:21:22","01:21:22"
"meta: 123--125","01:21:22","01:21:26"
"125","01:21:26","01:24:12"
"meta: 125--127","01:24:12","01:24:26"
"127","01:24:26","01:25:56"
"128","01:25:56","01:26:41"
"meta: 128--130","01:26:41","01:27:02"
"130","01:27:02","01:29:37"
"131","01:29:37","01:29:54"
"132","01:29:54","01:31:04"
"133","01:31:04","01:33:04"
"134","01:33:04","01:34:42"
"135","01:34:42","01:36:50"
"136","01:36:50","01:37:26"
"137","01:37:26","01:37:34"
"138","01:37:34","01:38:08"
"139","01:38:08","01:38:16"
"meta: 139--141","01:38:16","01:38:36"
"141","01:38:36","01:39:06"
"meta: 141--144","01:39:06","01:39:26"
"144","01:39:26","01:39:35"
"meta: 144--146","01:39:35","01:40:13"
"146","01:40:13","01:42:05"
"147","01:42:05","01:42:35"
"148","01:42:35","01:44:37"
"149","01:44:37","01:45:18"
"150","01:45:18","01:46:35"
"meta: 150--152","01:46:35","01:47:00"
"152","01:47:00","01:47:06"
"meta: 152--156","01:47:06","01:50:13"
"156","01:50:13","01:51:39"
"meta: 156--162","01:51:39","01:53:02"
"162","01:53:02","01:53:02"
"meta: 162--165","01:53:02","01:53:46"
"165","01:53:46","01:53:48"
"meta: 165--168","01:53:48","01:58:26"
"168","01:58:26","01:58:26"
"meta: 168--172","01:58:26","02:00:39"
"172","02:00:39","02:00:55"
"meta: 172--174","02:00:55","02:02:30"
"174","02:02:30","02:02:34"
"175","02:02:34","02:02:49"
"176","02:02:49","02:03:16"
"meta: 176--180","02:03:16","02:05:31"
"180","02:05:31","02:06:28"
"181","02:06:28","02:07:25"
"182","02:07:25","02:08:21"
