DIALOGUE ID,START TIME,END TIME
"1","00:02:00","00:02:02"
"2","00:02:00","00:02:02"
"3","00:02:02","00:02:04"
"4","00:02:02","00:02:04"
"5","00:02:06","00:02:16"
"6","00:02:13","00:02:16"
"7","00:02:42","00:02:45"
"8","00:02:42","00:02:45"
"9","00:02:42","00:02:45"
"10","00:02:42","00:03:01"
"11","00:03:04","00:03:07"
"12","00:03:07","00:03:10"
"13","00:03:07","00:03:10"
"14","00:03:14","00:03:16"
"15","00:03:20","00:03:23"
"16","00:03:23","00:03:28"
"17","00:03:25","00:03:36"
"18","00:03:36","00:03:38"
"19","00:03:42","00:03:44"
"20","00:03:44","00:03:47"
"21","00:03:44","00:03:52"
"22","00:05:26","00:05:29"
"23","00:05:40","00:05:42"
"24","00:05:40","00:05:42"
"25","00:05:40","00:05:42"
"26","00:05:53","00:05:55"
"27","00:05:53","00:06:04"
"28","00:06:01","00:06:04"
"29","00:06:08","00:06:10"
"30","00:06:10","00:06:12"
"31","00:06:12","00:06:15"
"32","00:06:27","00:06:28"
"33","00:06:27","00:06:28"
"34","00:06:48","00:06:50"
"35","00:06:55","00:06:57"
"36","00:06:55","00:06:57"
"37","00:06:55","00:06:57"
"38","00:06:55","00:06:57"
"39","00:07:07","00:07:09"
"40","00:07:10","00:07:13"
"41","00:07:20","00:07:21"
"42","00:07:22","00:07:24"
"43","00:07:22","00:07:24"
"44","00:07:33","00:07:35"
"45","00:07:37","00:07:48"
"46","00:07:48","00:07:50"
"47","00:07:56","00:07:58"
"48","00:07:58","00:08:01"
"49","00:08:01","00:08:03"
"50","00:08:04","00:08:07"
"51","00:08:04","00:08:14"
"52","00:08:15","00:08:17"
"53","00:08:17","00:08:20"
"54","00:08:17","00:08:20"
"55","00:08:17","00:08:23"
"56","00:08:23","00:08:25"
"57","00:08:28","00:08:30"
"58","00:08:33","00:08:37"
"59","00:08:40","00:08:41"
"60","00:08:43","00:08:47"
"61","00:08:43","00:08:47"
"62","00:08:47","00:08:50"
"63","00:08:47","00:08:54"
"64","00:09:04","00:09:10"
"65","00:09:06","00:09:10"
"66","00:09:19","00:09:21"
"67","00:09:19","00:09:21"
"68","00:09:19","00:09:21"
"69","00:09:21","00:09:26"
"70","00:09:21","00:09:28"
"71","00:09:28","00:09:32"
"72","00:09:32","00:09:35"
"73","00:09:35","00:09:38"
"74","00:09:42","00:09:47"
"75","00:09:51","00:09:54"
"76","00:10:32","00:10:36"
"77","00:10:32","00:10:36"
"78","00:10:32","00:10:36"
"79","00:11:00","00:11:02"
"80","00:11:00","00:11:02"
"81","00:11:00","00:11:02"
"82","00:11:00","00:11:02"
"83","00:11:20","00:11:22"
"84","00:11:22","00:11:24"
"85","00:11:24","00:11:26"
"86","00:11:24","00:11:26"
"87","00:11:24","00:11:26"
"88","00:11:24","00:11:26"
"89","00:11:24","00:11:26"
"90","00:11:24","00:11:26"
"91","00:11:24","00:11:26"
"92","00:11:24","00:11:26"
"93","00:11:24","00:11:26"
"94","00:11:24","00:11:26"
"95","00:11:24","00:11:26"
"96","00:11:24","00:11:26"
"97","00:11:24","00:11:26"
"98","00:11:24","00:11:26"
"99","00:11:24","00:11:26"
"100","00:11:24","00:11:26"
"101","00:11:24","00:11:26"
"102","00:11:24","00:11:26"
"103","00:11:24","00:11:26"
"104","00:11:24","00:11:26"
"105","00:11:26","00:11:29"
"106","00:11:26","00:12:26"
"107","00:12:30","00:12:33"
"108","00:12:33","00:12:36"
"109","00:12:37","00:12:44"
"110","00:12:46","00:12:48"
"111","00:12:46","00:12:48"
"112","00:12:56","00:12:59"
"113","00:12:56","00:12:59"
"114","00:13:05","00:13:09"
"115","00:14:29","00:14:31"
"116","00:14:33","00:14:36"
"117","00:14:45","00:14:46"
"118","00:14:45","00:14:46"
"119","00:15:02","00:15:07"
"120","00:15:07","00:15:14"
"121","00:15:17","00:15:21"
"122","00:15:21","00:15:23"
"123","00:15:26","00:15:33"
"124","00:15:30","00:15:33"
"125","00:15:38","00:15:41"
"126","00:15:59","00:16:01"
"127","00:15:59","00:16:01"
"128","00:15:59","00:16:01"
"129","00:16:01","00:16:03"
"130","00:16:03","00:16:06"
"131","00:16:06","00:16:08"
"132","00:16:06","00:16:08"
"133","00:16:06","00:16:08"
"134","00:16:15","00:16:18"
"135","00:16:19","00:16:21"
"136","00:16:22","00:16:25"
"137","00:16:29","00:16:32"
"138","00:16:32","00:16:37"
"139","00:16:32","00:16:37"
"140","00:16:32","00:16:37"
"141","00:16:32","00:16:37"
"142","00:16:32","00:16:42"
"143","00:16:49","00:16:53"
"144","00:16:49","00:16:53"
"145","00:16:49","00:16:53"
"146","00:17:06","00:17:10"
"147","00:17:31","00:17:34"
"148","00:17:31","00:17:34"
"149","00:17:31","00:17:34"
"150","00:17:31","00:17:34"
"151","00:17:31","00:17:34"
"152","00:17:31","00:17:34"
"153","00:17:34","00:17:37"
"154","00:17:37","00:17:42"
"155","00:17:42","00:17:47"
"156","00:17:42","00:18:10"
"157","00:18:07","00:18:10"
"158","00:18:07","00:18:10"
"159","00:18:07","00:18:10"
"160","00:18:07","00:18:10"
"161","00:18:30","00:18:34"
"162","00:18:45","00:18:48"
"163","00:18:48","00:18:56"
"164","00:18:56","00:19:01"
"165","00:19:01","00:19:07"
"166","00:19:08","00:19:09"
"167","00:19:08","00:19:09"
"168","00:19:14","00:19:18"
"169","00:19:34","00:19:36"
"170","00:19:45","00:19:47"
"171","00:19:47","00:19:50"
"172","00:19:47","00:19:50"
"173","00:19:47","00:19:50"
"174","00:19:50","00:19:55"
"175","00:20:09","00:20:11"
"176","00:20:11","00:20:12"
"177","00:20:11","00:20:12"
"178","00:20:29","00:20:31"
"179","00:21:11","00:21:13"
"180","00:21:11","00:21:13"
"181","00:21:11","00:21:13"
"182","00:21:11","00:21:13"
"183","00:21:11","00:21:13"
"184","00:21:11","00:21:13"
