SOURCE NODE ID,TARGET NODE ID,SCENE ID,DIALOGUE ID
"105","87","127","733"
"105","92","48","282"
"105","112","meta: 165--168","1006"
"105","116","34","218"
"105","123","48","282"
"105","129","135","867"
"105","147","134","858"
"105","152","150","970"
"105","156","150","970"
"105","164","70","470"
"105","172","117","696"
"105","190","156","982"
"105","190","meta: 165--168","1006"
"107","114","141","917"
"107","117","55","309"
"107","128","176","1050"
"107","129","176","1050"
"108","78","172","1030"
"108","92","68","452"
"108","105","117","696"
"108","121","24","154"
"108","163","72","509"
"108","172","117","696"
"108","173","101","610"
"108","181","117","696"
"110","68","141","914"
"110","81","148","953"
"110","82","148","953"
"110","109","18","102"
"110","111","18","103"
"110","128","148","953"
"110","182","121","706"
"112","64","134","835"
"112","66","134","823"
"112","66","134","835"
"112","75","63","387"
"112","75","65","410"
"112","80","39","233"
"112","84","63","387"
"112","84","134","829"
"112","87","63","387"
"112","94","63","387"
"112","94","meta: 96--100","591"
"112","107","39","233"
"112","122","65","410"
"112","125","134","823"
"112","125","134","829"
"112","128","39","233"
"112","134","63","387"
"112","144","101","608"
"112","145","51","293"
"112","147","65","410"
"112","149","134","823"
"113","87","134","779"
"113","92","32","200"
"114","62","148","953"
"114","81","148","953"
"114","82","134","821"
"114","82","148","953"
"114","103","146","940"
"114","110","148","953"
"114","128","148","953"
"114","187","134","821"
"115","62","144","927"
"115","103","21","115"
"115","112","21","115"
"116","63","125","720"
"116","64","125","724"
"116","83","125","720"
"116","91","25","163"
"116","92","25","163"
"116","118","125","720"
"116","119","148","960"
"116","132","148","959"
"116","157","125","720"
"117","75","55","311"
"117","149","55","311"
"118","120","134","802"
"118","125","117","694"
"119","64","146","938"
"119","75","141","919"
"119","87","25","164"
"119","91","25","164"
"119","124","25","164"
"119","125","146","938"
"119","143","146","938"
"119","150","77","515"
"119","170","146","938"
"120","68","24","148"
"120","92","134","827"
"120","116","134","827"
"120","116","136","885"
"120","137","135","873"
"120","147","103","633"
"122","75","103","630"
"122","75","105","667"
"122","96","103","630"
"122","112","105","667"
"122","149","105","667"
"122","152","103","640"
"122","166","103","640"
"123","66","180","1063"
"123","75","141","919"
"123","79","48","282"
"123","91","25","163"
"123","91","136","886"
"123","92","25","163"
"123","102","51","296"
"123","104","51","296"
"123","105","136","886"
"123","108","55","312"
"123","116","25","163"
"123","119","141","919"
"123","125","180","1063"
"123","139","141","919"
"124","87","25","164"
"124","91","25","164"
"124","183","127","730"
"125","62","134","831"
"125","63","35","226"
"125","63","134","780"
"125","64","146","938"
"125","66","180","1063"
"125","76","134","827"
"125","87","118","701"
"125","91","118","701"
"125","91","125","723"
"125","92","32","200"
"125","92","134","827"
"125","98","117","695"
"125","98","134","780"
"125","102","139","912"
"125","104","117","695"
"125","113","32","200"
"125","116","134","827"
"125","120","134","827"
"125","120","139","912"
"125","140","118","701"
"125","143","146","938"
"125","170","146","938"
"126","92","32","200"
"126","113","32","200"
"126","125","32","200"
"127","96","32","201"
"128","80","39","233"
"128","81","148","953"
"128","82","148","953"
"128","107","39","233"
"129","86","34","210"
"129","128","176","1050"
"129","156","148","956"
"129","189","148","956"
"130","70","181","1067"
"130","90","181","1067"
"130","93","181","1067"
"130","105","34","218"
"130","116","34","218"
"130","139","181","1068"
"130","147","135","866"
"130","170","125","713"
"132","102","51","296"
"132","104","51","296"
"132","122","35","223"
"132","123","51","296"
"134","63","35","226"
"134","125","35","226"
"134","143","181","1064"
"135","64","39","236"
"135","68","39","236"
"135","68","63","386"
"135","121","39","236"
"135","136","42","259"
"135","143","42","259"
"136","143","42","259"
"137","75","149","967"
"137","87","149","967"
"137","136","39","242"
"138","75","41","252"
"138","89","41","252"
"138","141","182","1072"
"139","75","141","919"
"139","119","141","919"
"139","155","63","389"
"140","67","41","252"
"140","75","41","252"
"140","75","69","458"
"140","89","41","252"
"140","123","118","702"
"140","138","41","252"
"140","162","69","458"
"141","66","69","462"
"141","75","69","462"
"142","116","meta: 165--168","1005"
"142","119","156","985"
"142","130","135","866"
"142","147","135","866"
"143","87","127","732"
"143","130","181","1068"
"143","139","181","1068"
"144","108","72","509"
"144","147","134","756"
"144","152","134","754"
"144","163","72","509"
"145","63","134","780"
"145","68","135","867"
"145","79","135","867"
"145","94","134","780"
"145","98","134","780"
"145","103","84","564"
"145","105","135","867"
"145","125","134","780"
"145","129","135","867"
"146","68","51","299"
"146","76","72","510"
"146","92","65","425"
"146","122","103","640"
"146","152","103","640"
"146","166","103","640"
"147","68","181","1067"
"147","70","181","1067"
"147","71","134","845"
"147","73","84","563"
"147","77","172","1043"
"147","90","181","1067"
"147","93","181","1067"
"147","122","65","410"
"147","130","181","1067"
"147","146","65","423"
"147","149","134","792"
"147","152","77","534"
"147","160","81","549"
"147","167","72","508"
"148","123","72","500"
"149","63","134","764"
"149","63","134","826"
"149","68","182","1071"
"149","72","134","764"
"149","75","55","311"
"149","75","182","1071"
"149","92","57","347"
"149","112","105","667"
"149","125","134","823"
"149","140","135","880"
"150","103","57","327"
"151","75","134","812"
"151","76","134","827"
"151","92","134","827"
"151","116","134","827"
"151","120","134","827"
"151","124","134","810"
"151","125","134","827"
"152","68","104","652"
"152","72","84","563"
"152","73","84","563"
"152","75","103","630"
"152","96","103","630"
"152","102","139","912"
"152","105","156","980"
"152","119","104","661"
"152","120","139","912"
"152","122","103","630"
"152","125","139","912"
"152","147","84","563"
"152","155","103","645"
"152","156","150","970"
"152","182","118","703"
"154","87","61","382"
"155","64","134","835"
"155","66","134","835"
"155","91","125","723"
"155","91","134","835"
"155","98","134","835"
"155","112","134","835"
"155","125","125","723"
"157","63","134","772"
"157","83","125","720"
"157","118","125","720"
"161","92","67","444"
"162","75","69","458"
"163","144","69","463"
"163","147","72","508"
"163","167","72","508"
"164","101","156","989"
"165","81","72","507"
"165","82","72","507"
"166","147","72","508"
"166","152","103","640"
"166","163","72","508"
"166","167","72","508"
"168","166","77","527"
"170","64","146","938"
"170","143","146","938"
"172","63","134","789"
"173","150","96","588"
"173","174","87","572"
"179","111","meta: 96--100","598"
"181","67","149","964"
"181","82","149","964"
"181","100","149","964"
"181","105","117","696"
"181","162","149","964"
"181","172","117","696"
"183","124","134","810"
"183","138","134","856"
"183","151","134","810"
"184","64","134","762"
"185","63","134","780"
"185","94","134","780"
"185","98","134","780"
"185","125","134","780"
"185","145","134","780"
"187","82","134","821"
"187","84","148","947"
"189","156","148","956"
"190","112","meta: 165--168","1006"
"191","78","172","1030"
"191","108","172","1030"
