"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"1","SHUTTLE CAPTAIN","[3,1]","[1,3]"
"2","DEATH STAR CONTROLLER","[3]","[2]"
"3","OFFICER","[3]","[4]"
"4","OPERATOR","[3]","[5]"
"5","JERJERROD","[103,4]","[492,6,8,10,12,15]"
"6","VADER","[129,121,116,89,77,59,58,68,66,49,42,4]","[16,168,166,164,250,252,254,311,309,308,305,269,266,265,14,13,11,9,7,441,434,409,407,404,405,402,399,397,395,523,525,527,529,538,540,541,566]"
"7","THREEPIO","[132,110,115,90,98,74,73,70,86,82,78,62,69,65,38,58,8,9,10,13,14,16,18,20,24,22,7,6,5,4]","[44,42,41,40,39,38,50,48,46,60,58,59,56,57,55,62,19,18,21,17,26,28,22,23,24,25,34,36,30,31,33,110,111,108,121,120,119,122,79,96,98,90,146,148,248,235,226,315,317,324,284,291,272,358,360,353,352,351,350,355,344,342,348,337,335,329,333,331,446,428,422,424,414,475,476,470,473,479,501,500,498,517,513,577]"
"8","STRANGE VOICE","[5]","[20]"
"9","BIB","[14,16,6]","[92,91,32,29,27]"
"10","JABBA","[9,10,16,7]","[97,35,54,52]"
"11","LUKE","[129,121,116,97,75,73,70,69,89,77,63,59,58,65,64,31,27,38,42,50,49,7,14,16,20,21]","[37,113,117,115,105,103,125,124,95,94,99,101,87,86,89,88,93,180,178,177,175,173,171,192,191,189,186,185,183,147,149,163,162,161,156,150,247,260,234,242,214,200,198,204,202,208,206,212,210,316,322,320,282,283,281,279,290,288,287,263,276,383,385,374,376,379,378,381,367,369,371,372,362,363,365,354,349,347,328,327,330,439,436,432,410,408,406,403,400,401,398,467,524,526,528,539,542,544,565,569,567]"
"12","NINEDENINE","[8,9]","[47,49,51,43,45]"
"13","OOLA","[9]","[53]"
"14","BOUSHH","[10,13]","[63,64,66,68,61]"
"15","HAN SOLO","[132,122,115,110,118,120,116,90,98,75,74,73,70,69,86,82,78,62,63,60,59,68,65,25,35,33,42,50,58,13,14,20,21,22]","[69,67,65,112,116,114,104,102,109,106,128,127,132,131,130,118,123,80,81,82,83,84,85,71,73,74,75,76,100,142,144,139,140,134,135,136,137,155,154,157,152,246,249,255,256,257,259,261,233,236,241,240,243,245,216,218,222,223,228,229,314,323,325,318,319,321,285,280,289,286,264,262,275,274,271,270,386,359,361,356,346,336,334,340,341,338,339,326,332,443,445,427,420,412,390,391,478,499,502,514,512,519,522,534,537,546,576]"
"16","LEIA","[112,115,90,98,75,74,73,84,82,78,62,59,65,66,63,37,42,58,13,20]","[107,78,70,72,77,145,159,153,258,230,232,244,299,298,300,295,294,297,296,303,278,292,293,273,382,384,387,389,388,375,377,380,366,368,370,373,364,357,345,343,444,423,425,421,413,411,392,477,503,515,520]"
"17","LANDO","[132,125,123,131,112,108,109,117,94,96,92,100,80,58,31,35,33,39,42,50]","[129,126,133,143,138,141,158,160,151,237,239,238,217,448,419,417,415,455,454,457,462,480,493,486,497,495,505,530,533,548,557,555,554,559,571,574]"
"18","EMPEROR","[124,113,103,121,97,89,58,68,49]","[169,167,165,251,253,310,312,313,307,442,438,440,435,437,430,431,433,429,466,468,465,464,491,508,509,543,545,549,552,551,550]"
"19","YODA","[49]","[181,179,176,174,172,170,188,187,184,182]"
"20","BEN","[50]","[211,213,207,209,203,205,199,201,215,190,193,194,195,196,197]"
"21","MON MOTHMA","[52,50]","[219,220]"
"22","ACKBAR","[132,126,123,112,109,93,96,80,58]","[221,224,453,418,416,458,460,496,494,504,547,560,573]"
"23","GENERAL MADINE","[58]","[227,225]"
"24","VOICE","[58]","[231]"
"25","PIETT","[127,102,59]","[562,563,488,490,267,268]"
"26","SCOUT #1","[85,66,63]","[426,277,301]"
"27","SCOUT #2","[66]","[302]"
"28","GUARD","[66]","[304,306]"
"29","COMMANDER","[129,90,100,102,77]","[564,487,489,393,394,396,447]"
"30","WEDGE","[132,125,131,117,92,100,96]","[452,449,463,484,481,532,553,556,572,570,575]"
"31","GRAY LEADER","[92]","[450]"
"32","GREEN LEADER","[92]","[451]"
"33","RED LEADER","[94]","[456]"
"34","CONTROLLER","[127,96]","[561,459]"
"35","REBEL PILOT","[112,117,96]","[531,506,461]"
"36","STORMTROOPER","[115,98]","[521,518,516,472,474,469]"
"37","BUNKER COMMANDER","[98]","[471]"
"38","RED TWO","[100]","[482]"
"39","RED THREE","[100]","[483]"
"40","NAVIGATOR","[100]","[485]"
"41","Y-WING PILOT","[112]","[507]"
"42","WALKER PILOT #1","[114]","[510]"
"43","PILOT #2","[125,114]","[558,511]"
"44","CONTROL ROOM COMMANDER","[118]","[535]"
"45","SECOND COMMANDER","[118]","[536]"
"46","ANAKIN","[129]","[568]"
