SCENE ID,START TIME,END TIME
"210","01:45:31","01:45:33"
"meta: 210--212","01:45:33","01:45:38"
"212","01:45:38","01:45:40"
"meta: 212--217","01:45:40","01:45:44"
"217","01:45:44","01:45:46"
"meta: 217--219","01:45:46","01:45:50"
"219","01:45:50","01:45:52"
"220","01:45:52","01:45:54"
"meta: 220--222","01:45:54","01:45:55"
"222","01:45:55","01:45:56"
"meta: 222--224","01:45:56","01:45:59"
"224","01:45:59","01:46:04"
"225","01:46:04","01:46:07"
"meta: 225--227","01:46:07","01:46:10"
"227","01:46:10","01:46:13"
"228","01:46:13","01:46:17"
"meta: 228--232","01:46:17","01:46:31"
"232","01:46:31","01:46:34"
"meta: 232--237","01:46:34","01:46:42"
"237","01:46:42","01:46:43"
"meta: 237--239","01:46:43","01:46:48"
"239","01:46:48","01:46:49"
"meta: 239--241","01:46:49","01:46:51"
"241","01:46:51","01:46:53"
"242","01:46:53","01:46:53"
"meta: 242--244","01:46:53","01:47:07"
"244","01:47:07","01:47:07"
"meta: 244--247","01:47:07","01:47:11"
"247","01:47:11","01:47:15"
"meta: 247--255","01:47:15","01:47:58"
"255","01:47:58","01:47:58"
"meta: 255--257","01:47:58","01:47:59"
"257","01:47:59","01:48:02"
"meta: 257--260","01:48:02","01:48:07"
"260","01:48:07","01:48:17"
"meta: 260--262","01:48:17","01:48:19"
"262","01:48:19","01:48:21"
"meta: 262--268","01:48:21","01:48:40"
"268","01:48:40","01:48:43"
"269","01:48:43","01:48:47"
"270","01:48:47","01:48:49"
"meta: 270--274","01:48:49","01:48:55"
"274","01:48:55","01:48:58"
"275","01:48:58","01:49:00"
"276","01:49:00","01:49:03"
"277","01:49:03","01:49:05"
"278","01:49:05","01:49:07"
"meta: 278--280","01:49:07","01:49:11"
"280","01:49:11","01:49:12"
"meta: 280--284","01:49:12","01:49:16"
"284","01:49:16","01:49:17"
"meta: 284--287","01:49:17","01:49:24"
"287","01:49:24","01:49:28"
"288","01:49:28","01:49:30"
"289","01:49:30","01:49:30"
"meta: 289--291","01:49:30","01:49:32"
"291","01:49:32","01:49:35"
"meta: 291--293","01:49:35","01:49:37"
"293","01:49:37","01:49:39"
"meta: 293--295","01:49:39","01:49:42"
"295","01:49:42","01:49:44"
"meta: 295--298","01:49:44","01:49:52"
"298","01:49:52","01:49:56"
"meta: 298--302","01:49:56","01:50:01"
"302","01:50:01","01:50:07"
"meta: 302--304","01:50:07","01:50:09"
"304","01:50:09","01:50:12"
"305","01:50:12","01:50:21"
"306","01:50:21","01:50:26"
"307","01:50:26","01:50:28"
"meta: 307--309","01:50:28","01:50:30"
"309","01:50:30","01:50:34"
"meta: 309--316","01:50:34","01:50:48"
"316","01:50:48","01:50:51"
"317","01:50:51","01:50:51"
"318","01:50:51","01:50:53"
"meta: 318--320","01:50:53","01:50:54"
"320","01:50:54","01:50:55"
"meta: 320--324","01:50:55","01:50:58"
"324","01:50:58","01:51:01"
"325","01:51:01","01:51:01"
"326","01:51:01","01:51:06"
"327","01:51:06","01:51:06"
"meta: 327--330","01:51:06","01:51:20"
"330","01:51:20","01:51:23"
"meta: 330--332","01:51:23","01:51:26"
"332","01:51:26","01:51:33"
"333","01:51:33","01:51:36"
"334","01:51:36","01:51:42"
"meta: 334--338","01:51:42","01:51:50"
"338","01:51:50","01:51:52"
"meta: 338--342","01:51:52","01:51:56"
"342","01:51:56","01:51:58"
"meta: 342--345","01:51:58","01:52:05"
"345","01:52:05","01:52:06"
"346","01:52:06","01:52:06"
"347","01:52:06","01:52:09"
"348","01:52:09","01:52:09"
"meta: 348--350","01:52:09","01:52:12"
"350","01:52:12","01:52:12"
"meta: 350--352","01:52:12","01:52:13"
"352","01:52:13","01:52:19"
"353","01:52:19","01:52:22"
"meta: 353--360","01:52:22","01:52:23"
"360","01:52:23","01:52:38"
"361","01:52:38","01:52:41"
"meta: 361--367","01:52:41","01:52:49"
"367","01:52:49","01:52:50"
"meta: 367--369","01:52:50","01:52:54"
"369","01:52:54","01:52:58"
"370","01:52:58","01:53:01"
"meta: 370--373","01:53:01","01:53:07"
"373","01:53:07","01:53:09"
"374","01:53:09","01:53:15"
"375","01:53:15","01:53:15"
"376","01:53:15","01:53:17"
"meta: 376--381","01:53:17","01:53:31"
"381","01:53:31","01:53:33"
"382","01:53:33","01:53:39"
"383","01:53:39","01:53:41"
"meta: 383--385","01:53:41","01:53:44"
"385","01:53:44","01:53:44"
"386","01:53:44","01:53:46"
"meta: 386--389","01:53:46","01:53:55"
"389","01:53:55","01:53:59"
"meta: 389--391","01:53:59","01:54:03"
"391","01:54:03","01:54:05"
"392","01:54:05","01:54:06"
"393","01:54:06","01:54:09"
"meta: 393--395","01:54:09","01:54:19"
"395","01:54:19","01:54:23"
"meta: 395--402","01:54:23","01:54:39"
"402","01:54:39","01:54:41"
"403","01:54:41","01:54:43"
"404","01:54:43","01:54:45"
"meta: 404--406","01:54:45","01:54:46"
"406","01:54:46","01:54:48"
"meta: 406--408","01:54:48","01:54:50"
"408","01:54:50","01:54:52"
"meta: 408--410","01:54:52","01:54:56"
"410","01:54:56","01:54:59"
"meta: 410--415","01:54:59","01:55:04"
"415","01:55:04","01:55:06"
"meta: 415--423","01:55:06","01:55:15"
"423","01:55:15","01:55:17"
"424","01:55:17","01:55:18"
"meta: 424--426","01:55:18","01:55:22"
"426","01:55:22","01:55:23"
"meta: 426--432","01:55:23","01:55:39"
"432","01:55:39","01:55:43"
"meta: 432--434","01:55:43","01:55:44"
"434","01:55:44","01:55:46"
"meta: 434--436","01:55:46","01:55:48"
"436","01:55:48","01:55:50"
"meta: 436--438","01:55:50","01:55:53"
"438","01:55:53","01:55:58"
"439","01:55:58","01:56:04"
"meta: 439--447","01:56:04","01:56:17"
"447","01:56:17","01:56:19"
"448","01:56:19","01:56:26"
"449","01:56:26","01:56:32"
"meta: 449--454","01:56:32","01:56:46"
"454","01:56:46","01:56:47"
"meta: 454--457","01:56:47","01:56:50"
"457","01:56:50","01:56:51"
"meta: 457--461","01:56:51","01:56:53"
"461","01:56:53","01:56:54"
"meta: 461--466","01:56:54","01:57:01"
"466","01:57:01","01:57:04"
"467","01:57:04","01:57:04"
"meta: 467--471","01:57:04","01:57:11"
"471","01:57:11","01:57:17"
"meta: 471--475","01:57:17","01:57:27"
"475","01:57:27","01:57:29"
"476","01:57:29","01:57:35"
"meta: 476--479","01:57:35","01:58:00"
"479","01:58:00","01:58:24"
