"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"63","main","[8,148]","[11,717]"
"64","computer","[8,466,201]","[11,955,803]"
"65","sees","[10]","[20]"
"66","hear","[30,31]","[43,77]"
"67","transmissions","[30,45,41,33,111]","[44,271,223,200,493]"
"68","senate","[30]","[47,50]"
"69","side","[86,31,466]","[456,68,866]"
"70","wall","[31]","[68]"
"71","canyon","[31]","[68]"
"72","dark","[31]","[68]"
"73","starship","[466,31,205,170,148,111,61,59,57,81]","[917,69,827,767,715,717,543,522,537,519,516,373,485,353,341,421]"
"74","quiet","[31]","[71]"
"75","find","[31,56,54,47,79]","[79,323,307,291,416,287]"
"76","rock","[31]","[87,132,82]"
"77","long","[45,47,111,61,115,44,31]","[275,283,498,375,648,238,86,89]"
"78","uncle","[31,45]","[86,258]"
"79","direction","[31]","[96]"
"80","thirty","[31]","[105]"
"81","stick","[31]","[128]"
"82","move","[31]","[129]"
"83","speed","[31,81,73]","[132,423,418,413]"
"84","planet","[31,60,84,47]","[134,364,430,290]"
"85","laughing","[479,188,31,105,45]","[997,995,994,771,138,462,273]"
"86","making","[31]","[146]"
"87","good","[199,31,86]","[799,147,456]"
"88","captain","[31]","[156]"
"89","han","[466,205,44,41,31,47]","[953,831,245,224,225,164,163,288]"
"90","thing","[31,105,79,45]","[163,467,415,274]"
"91","entire","[31]","[164]"
"92","bolt","[36,31]","[220,164]"
"93","short","[31,66]","[164,401]"
"94","father","[197,45,31]","[795,265,255,258,197,182]"
"95","agreement","[31]","[185]"
"96","morning","[34]","[205]"
"97","wait","[34,111]","[205,564]"
"98","trouble","[34,111,59,57]","[208,547,492,350,330]"
"99","approaching","[42]","[228]"
"100","creatures","[42,56]","[228,320]"
"101","friend","[45,111]","[268,617]"
"102","station","[47,201,204,111,63]","[286,287,289,295,801,811,800,532,382]"
"103","readout","[47]","[287]"
"104","data","[192,47]","[784,291]"
"105","stormtroopers","[48]","[299]"
"106","pilot","[205,56,66]","[823,323,399]"
"107","questions","[59]","[349]"
"108","listen","[59]","[355]"
"109","large","[199,61,66]","[798,367,401]"
"110","head","[61]","[367]"
"111","forward","[61]","[375]"
"112","door","[64]","[385]"
"113","blast","[66]","[397]"
"114","jump","[81,73]","[423,418,413]"
"115","fire","[332,466,111,84]","[855,866,485,436]"
"116","suddenly","[86]","[442]"
"117","force","[105]","[458]"
"118","deep","[111]","[496]"
"119","small","[201,111]","[800,499]"
"120","officer","[115,111]","[671,510]"
"121","hand","[111]","[529]"
"122","waiting","[111]","[549]"
"123","nervous","[111]","[601]"
"124","finally","[111]","[606]"
"125","restricted","[112]","[632]"
"126","control","[148,115]","[729,648]"
"127","pointing","[115]","[671]"
"128","troops","[116]","[673]"
"129","voice","[148]","[717]"
"130","hangar","[148]","[717]"
"131","princess","[192]","[792]"
"132","lost","[197]","[795]"
"133","fighter","[201]","[800]"
"134","surface","[466,201]","[943,899,801]"
"135","room","[332]","[856]"
"136","attack","[466]","[892]"
"137","position","[466]","[893]"
"138","standing","[466]","[917]"
"139","group","[466]","[924]"
