SOURCE NODE ID,TARGET NODE ID,SCENE ID
"53","195","5"
"53","198","7"
"53","199","8"
"53","200","9"
"53","218","35"
"53","227","53"
"53","230","47"
"53","232","49"
"53","233","50"
"53","236","55"
"53","258","80"
"53","273","105"
"53","288","144"
"53","327","184"
"54","195","5"
"54","199","8"
"54","200","9"
"54","218","35"
"54","224","66"
"54","226","43"
"54","227","53"
"54","230","47"
"54","232","49"
"54","233","50"
"54","258","80"
"54","273","105"
"54","288","144"
"54","327","184"
"55","195","5"
"55","224","66"
"55","230","47"
"55","258","80"
"55","273","105"
"55","288","144"
"55","327","184"
"56","195","5"
"56","199","8"
"56","230","47"
"56","258","80"
"56","327","184"
"57","195","5"
"57","199","8"
"57","200","9"
"57","218","35"
"57","224","66"
"57","230","47"
"57","233","50"
"57","288","144"
"58","195","5"
"58","199","8"
"58","218","35"
"58","327","184"
"59","195","5"
"59","199","8"
"59","273","105"
"60","195","5"
"60","218","35"
"60","230","47"
"60","236","55"
"60","258","80"
"60","273","105"
"60","288","144"
"61","195","5"
"61","199","8"
"61","218","35"
"61","224","66"
"61","226","43"
"61","230","47"
"61","232","49"
"61","233","50"
"61","236","55"
"61","258","80"
"61","273","105"
"61","288","144"
"61","327","184"
"62","195","5"
"62","199","8"
"62","200","9"
"62","230","47"
"63","195","5"
"63","195","6"
"63","198","7"
"63","199","8"
"63","200","9"
"63","218","35"
"63","327","184"
"64","195","5"
"64","273","105"
"64","288","144"
"65","195","5"
"66","195","6"
"66","199","8"
"66","218","35"
"66","224","66"
"66","230","47"
"66","232","49"
"66","233","50"
"66","236","55"
"66","258","80"
"66","273","105"
"66","288","144"
"66","327","184"
"67","195","6"
"67","198","7"
"67","199","8"
"67","200","9"
"67","218","35"
"67","224","66"
"67","288","144"
"67","327","184"
"68","198","7"
"68","199","8"
"68","218","35"
"68","224","66"
"68","226","43"
"68","230","47"
"68","232","49"
"68","258","80"
"68","273","105"
"68","288","144"
"69","199","8"
"70","199","8"
"70","218","35"
"71","199","8"
"71","218","35"
"71","230","47"
"71","258","80"
"71","288","144"
"72","199","8"
"72","218","35"
"72","224","66"
"72","230","47"
"72","232","49"
"72","233","50"
"72","258","80"
"72","273","105"
"72","288","144"
"72","327","184"
"73","199","8"
"74","199","8"
"74","327","184"
"75","199","8"
"76","199","8"
"76","218","35"
"76","224","66"
"76","230","47"
"76","258","80"
"76","273","105"
"76","327","184"
"77","199","8"
"77","288","144"
"78","199","8"
"78","218","35"
"78","224","66"
"78","226","43"
"78","227","53"
"78","230","47"
"78","232","49"
"78","233","50"
"78","236","55"
"78","258","80"
"78","273","105"
"78","286","122"
"78","288","144"
"78","327","184"
"79","199","8"
"79","226","43"
"79","288","144"
"79","327","184"
"80","199","8"
"80","218","35"
"80","230","47"
"80","232","49"
"80","236","55"
"80","258","80"
"80","273","105"
"80","288","144"
"80","327","184"
"81","199","8"
"81","230","47"
"81","232","49"
"81","258","80"
"81","273","105"
"81","327","184"
"82","199","8"
"83","199","8"
"83","233","50"
"83","273","105"
"83","327","184"
"84","199","8"
"84","200","9"
"85","199","8"
"85","218","35"
"85","224","66"
"85","226","43"
"85","230","47"
"85","258","80"
"85","273","105"
"85","288","144"
"86","199","8"
"86","288","144"
"87","199","8"
"87","218","35"
"88","199","8"
"88","273","105"
"88","327","184"
"89","200","9"
"90","200","9"
"90","218","35"
"90","224","66"
"90","230","47"
"90","258","80"
"90","273","105"
"90","327","184"
"91","200","9"
"91","218","35"
"92","201","10"
"92","258","80"
"92","288","144"
"93","201","10"
"93","218","35"
"93","224","66"
"93","226","43"
"93","273","105"
"93","327","184"
"94","201","10"
"94","218","35"
"94","230","47"
"94","258","80"
"94","288","144"
"94","327","184"
"95","218","35"
"95","227","53"
"95","230","47"
"95","233","50"
"95","236","55"
"95","288","144"
"95","327","184"
"96","218","35"
"96","230","47"
"96","233","50"
"97","218","35"
"97","224","66"
"97","273","105"
"97","288","144"
"97","327","184"
