SOURCE NODE ID,TARGET NODE ID,SCENE ID,DIALOGUE ID
"53","61","105","636"
"53","61","144","795"
"53","63","35","164"
"53","67","7","20"
"53","68","7","20"
"53","78","80","528"
"53","78","105","570"
"53","78","105","592"
"53","78","184","971"
"53","80","47","353"
"53","80","105","588"
"53","81","105","585"
"53","81","105","636"
"53","90","80","499"
"53","90","184","971"
"53","107","105","578"
"53","113","47","297"
"53","113","105","570"
"53","113","105","578"
"53","113","105","592"
"53","115","35","164"
"53","125","184","1010"
"53","125","105","578"
"53","138","184","941"
"53","141","105","636"
"53","150","184","1010"
"53","150","184","895"
"53","151","80","528"
"53","151","105","535"
"53","151","105","585"
"53","151","105","636"
"53","151","144","750"
"53","151","184","913"
"53","152","144","750"
"54","53","5","1"
"54","55","5","1"
"54","56","5","1"
"54","61","35","152"
"54","61","35","181"
"54","61","47","323"
"54","67","8","74"
"54","67","35","181"
"54","68","105","591"
"54","72","105","591"
"54","76","35","152"
"54","76","105","558"
"54","76","184","915"
"54","78","53","425"
"54","78","184","826"
"54","86","8","74"
"54","90","47","323"
"54","93","35","152"
"54","100","184","812"
"54","103","47","349"
"54","110","184","826"
"54","113","47","282"
"54","113","47","301"
"54","113","47","323"
"54","113","47","327"
"54","113","47","339"
"54","116","47","317"
"54","116","105","591"
"54","118","47","282"
"54","130","47","339"
"54","130","105","642"
"54","147","49","398"
"54","153","47","333"
"54","154","184","915"
"55","53","5","1"
"55","53","80","499"
"55","53","105","532"
"55","56","5","1"
"55","66","184","966"
"55","72","184","972"
"55","80","184","966"
"55","90","80","499"
"55","90","184","966"
"55","122","80","499"
"55","129","184","966"
"55","137","47","374"
"55","147","184","972"
"55","150","80","499"
"55","150","184","972"
"56","53","5","1"
"56","57","8","21"
"56","71","47","313"
"56","72","80","503"
"56","73","8","28"
"56","105","80","503"
"56","148","47","313"
"57","56","8","28"
"57","58","8","28"
"57","66","47","316"
"57","73","8","28"
"57","84","9","85"
"57","89","9","85"
"57","108","35","137"
"58","56","8","28"
"58","59","5","4"
"58","59","8","59"
"58","73","8","28"
"58","110","184","831"
"59","58","8","52"
"59","132","105","538"
"59","175","105","538"
"60","61","47","329"
"60","68","80","504"
"60","78","47","329"
"60","78","105","602"
"60","97","105","602"
"60","113","47","361"
"60","136","105","602"
"60","138","47","329"
"60","141","47","329"
"61","54","47","333"
"61","54","47","339"
"61","54","80","500"
"61","55","47","374"
