SOURCE NODE ID,TARGET NODE ID,SCENE ID
"1","2","9"
"1","2","6"
"1","2","8"
"1","2","5"
"1","2","47"
"1","2","43"
"1","2","35"
"1","2","49"
"1","2","53"
"1","2","80"
"1","2","105"
"1","2","144"
"1","2","184"
"1","3","8"
"1","3","6"
"1","4","8"
"1","4","35"
"1","4","144"
"1","5","43"
"1","5","35"
"1","5","80"
"1","7","35"
"1","8","184"
"1","8","105"
"1","8","144"
"1","8","80"
"1","8","49"
"1","8","47"
"1","8","35"
"1","8","43"
"1","9","35"
"1","10","144"
"1","10","49"
"1","10","80"
"1","10","35"
"1","10","105"
"1","10","184"
"1","10","47"
"1","11","47"
"1","11","35"
"1","11","80"
"1","11","49"
"1","11","105"
"1","12","80"
"1","12","105"
"1","12","35"
"1","12","43"
"1","12","184"
"1","12","144"
"1","13","43"
"1","14","43"
"1","14","144"
"1","14","184"
"1","15","43"
"1","16","43"
"1","16","184"
"1","17","43"
"1","18","43"
"1","19","47"
"1","19","80"
"1","19","49"
"1","20","144"
"1","23","144"
"1","23","80"
"1","23","105"
"1","25","144"
"1","25","184"
"1","27","184"
"1","27","144"
"1","28","105"
"1","28","184"
"1","28","144"
"1","29","144"
"1","30","144"
"1","31","144"
"1","32","144"
"1","33","144"
"1","34","144"
"1","35","144"
"1","36","144"
"1","37","144"
"1","38","144"
"1","39","144"
"1","40","144"
"1","41","144"
"1","42","144"
"1","43","144"
"1","43","184"
"1","44","184"
"1","44","144"
"1","45","184"
"1","46","184"
"1","47","184"
"1","48","184"
"1","49","184"
"1","50","184"
"1","51","184"
"1","52","184"
"2","1","5"
"2","1","8"
"2","1","9"
"2","1","47"
"2","1","49"
"2","1","6"
"2","1","35"
"2","1","43"
"2","1","105"
"2","1","80"
"2","1","53"
"2","1","184"
"2","1","144"
"2","3","8"
"2","3","6"
"2","4","8"
"2","4","35"
"2","4","144"
"2","5","43"
"2","5","35"
"2","5","80"
"2","5","66"
"2","7","35"
"2","8","184"
"2","8","144"
"2","8","105"
"2","8","80"
"2","8","49"
"2","8","47"
"2","8","35"
"2","8","43"
"2","8","66"
"2","9","35"
"2","10","144"
"2","10","49"
"2","10","80"
"2","10","35"
"2","10","47"
"2","10","105"
"2","10","184"
"2","11","47"
"2","11","35"
"2","11","80"
"2","11","49"
"2","11","105"
"2","12","80"
"2","12","105"
"2","12","35"
"2","12","43"
"2","12","66"
"2","12","184"
"2","12","144"
"2","13","43"
"2","14","43"
"2","14","144"
"2","14","184"
"2","15","43"
"2","15","66"
"2","16","43"
"2","16","184"
"2","17","43"
"2","18","43"
"2","19","80"
"2","19","49"
"2","19","47"
"2","20","144"
"2","23","144"
"2","23","80"
"2","23","105"
"2","23","55"
"2","24","66"
"2","24","55"
"2","25","66"
"2","25","144"
"2","25","184"
"2","26","66"
"2","27","184"
"2","27","144"
"2","27","66"
"2","28","105"
"2","28","184"
"2","28","144"
"2","29","144"
"2","30","144"
"2","31","144"
"2","32","144"
"2","33","144"
"2","34","144"
"2","35","144"
"2","36","144"
"2","37","144"
"2","38","144"
"2","39","144"
"2","40","144"
"2","41","144"
"2","42","144"
"2","43","144"
"2","43","184"
"2","44","184"
"2","44","144"
"2","45","184"
"2","46","184"
"2","47","184"
"2","48","184"
"2","49","184"
"2","50","184"
"2","51","184"
"2","52","184"
"3","1","6"
"3","1","8"
"3","2","8"
"3","2","6"
"3","4","8"
"4","1","8"
"4","1","35"
"4","1","144"
"4","2","8"
"4","2","35"
"4","2","144"
"4","3","8"
"4","5","35"
"4","7","35"
"4","8","144"
"4","8","35"
"4","9","35"
"4","10","144"
"4","10","35"
"4","11","35"
"4","12","35"
"4","12","144"
"4","14","144"
"4","20","144"
"4","23","144"
"4","25","144"
"4","27","144"
"4","28","144"
"4","29","144"
"4","30","144"
"4","31","144"
"4","32","144"
"4","33","144"
"4","34","144"
"4","35","144"
"4","36","144"
"4","37","144"
"4","38","144"
"4","39","144"
"4","40","144"
"4","41","144"
"4","42","144"
"4","43","144"
"4","44","144"
"5","1","35"
"5","1","43"
"5","1","80"
"5","2","43"
"5","2","35"
"5","2","66"
"5","2","80"
"5","4","35"
"5","6","10"
"5","7","35"
"5","8","80"
"5","8","35"
"5","8","43"
"5","8","66"
"5","9","35"
"5","10","80"
"5","10","35"
"5","11","35"
"5","11","80"
"5","12","80"
"5","12","35"
"5","12","43"
"5","12","66"
"5","13","43"
"5","14","43"
"5","15","43"
"5","15","66"
"5","16","43"
"5","17","43"
"5","18","43"
"5","19","80"
"5","23","80"
"5","24","66"
"5","25","66"
"5","26","66"
"5","27","66"
"6","5","10"
"7","1","35"
"7","2","35"
"7","4","35"
"7","5","35"
"7","8","35"
"7","9","35"
"7","10","35"
"7","11","35"
"7","12","35"
"8","1","47"
"8","1","49"
"8","1","35"
"8","1","43"
"8","1","105"
"8","1","80"
"8","1","184"
"8","1","144"
"8","2","47"
"8","2","43"
"8","2","35"
"8","2","49"
"8","2","66"
"8","2","80"
"8","2","105"
"8","2","144"
"8","2","184"
"8","4","35"
"8","4","144"
"8","5","43"
"8","5","35"
"8","5","80"
"8","5","66"
"8","7","35"
"8","9","35"
"8","10","144"
"8","10","49"
"8","10","80"
"8","10","35"
"8","10","105"
"8","10","184"
"8","10","47"
"8","11","47"
"8","11","35"
"8","11","80"
"8","11","49"
"8","11","105"
"8","12","80"
"8","12","105"
"8","12","35"
"8","12","43"
"8","12","66"
"8","12","184"
"8","12","144"
"8","13","43"
"8","14","43"
"8","14","144"
"8","14","184"
"8","15","43"
"8","15","66"
"8","16","43"
"8","16","184"
"8","17","43"
"8","18","43"
"8","19","80"
"8","19","49"
"8","19","47"
"8","20","144"
"8","23","144"
"8","23","80"
"8","23","105"
"8","24","66"
"8","25","66"
"8","25","144"
"8","25","184"
"8","26","66"
"8","27","184"
"8","27","144"
"8","27","66"
"8","28","105"
"8","28","184"
"8","28","122"
"8","28","144"
"8","29","144"
"8","30","144"
"8","31","144"
"8","32","144"
"8","33","144"
"8","34","144"
"8","35","144"
"8","36","144"
"8","37","144"
"8","38","144"
"8","39","144"
"8","40","144"
"8","41","144"
"8","42","144"
"8","43","144"
"8","43","184"
"8","44","184"
"8","44","144"
"8","45","184"
"8","46","184"
"8","47","184"
"8","48","184"
"8","49","184"
"8","50","184"
"8","51","184"
"8","52","184"
"9","1","35"
"9","2","35"
"9","4","35"
"9","5","35"
"9","7","35"
"9","8","35"
"9","10","35"
"9","11","35"
"9","12","35"
"10","1","47"
"10","1","49"
"10","1","35"
"10","1","105"
"10","1","80"
"10","1","184"
"10","1","144"
"10","2","47"
"10","2","35"
"10","2","49"
"10","2","80"
"10","2","105"
"10","2","144"
"10","2","184"
"10","4","35"
"10","4","144"
"10","5","35"
"10","5","80"
"10","7","35"
"10","8","184"
"10","8","144"
"10","8","105"
"10","8","80"
"10","8","49"
"10","8","47"
"10","8","35"
"10","9","35"
"10","11","47"
"10","11","35"
"10","11","80"
"10","11","49"
"10","11","105"
"10","12","50"
"10","12","80"
"10","12","105"
"10","12","184"
"10","12","35"
"10","12","144"
"10","14","144"
"10","14","50"
"10","14","184"
"10","15","50"
"10","16","184"
"10","16","50"
"10","17","50"
"10","19","80"
"10","19","49"
"10","19","47"
"10","20","144"
"10","20","50"
"10","21","50"
"10","22","50"
"10","23","80"
"10","23","105"
"10","23","144"
"10","25","144"
"10","25","184"
"10","27","184"
"10","27","144"
"10","28","105"
"10","28","184"
"10","28","144"
"10","29","144"
"10","30","144"
"10","31","144"
"10","32","144"
"10","33","144"
"10","34","144"
"10","35","144"
"10","36","144"
"10","37","144"
"10","38","144"
"10","39","144"
"10","40","144"
"10","41","144"
"10","42","144"
"10","43","144"
"10","43","184"
"10","44","184"
"10","44","144"
"10","45","184"
"10","46","184"
"10","47","184"
"10","48","184"
"10","49","184"
"10","50","184"
"10","51","184"
"10","52","184"
"11","1","47"
"11","1","49"
"11","1","35"
"11","1","105"
"11","1","80"
"11","2","47"
"11","2","35"
"11","2","49"
