SCENE ID,START TIME,END TIME
"meta: 0--3","00:00:00","00:03:08"
"3","00:03:08","00:04:40"
"meta: 3--5","00:04:40","00:04:48"
"5","00:04:48","00:05:37"
"meta: 5--7","00:05:37","00:05:40"
"7","00:05:40","00:07:36"
"meta: 7--9","00:07:36","00:07:57"
"9","00:07:57","00:07:57"
"10","00:07:57","00:10:32"
"meta: 10--12","00:10:32","00:10:40"
"12","00:10:40","00:10:42"
"meta: 12--14","00:10:42","00:10:44"
"14","00:10:44","00:11:47"
"meta: 14--16","00:11:47","00:12:03"
"16","00:12:03","00:14:00"
"meta: 16--22","00:14:00","00:15:00"
"22","00:15:00","00:16:27"
"23","00:16:27","00:17:12"
"24","00:17:12","00:17:20"
"25","00:17:20","00:17:20"
"26","00:17:20","00:24:52"
"meta: 26--28","00:24:52","00:25:55"
"28","00:25:55","00:26:55"
"meta: 28--33","00:26:55","00:26:58"
"33","00:26:58","00:27:00"
"meta: 33--35","00:27:00","00:27:05"
"35","00:27:05","00:27:26"
"meta: 35--37","00:27:26","00:27:54"
"37","00:27:54","00:37:28"
"meta: 37--48","00:37:28","00:37:34"
"48","00:37:34","00:38:07"
"meta: 48--50","00:38:07","00:39:20"
"50","00:39:20","00:44:27"
"51","00:44:27","00:46:24"
"meta: 51--55","00:46:24","00:46:34"
"55","00:46:34","00:47:29"
"meta: 55--58","00:47:29","00:48:03"
"58","00:48:03","00:48:03"
"59","00:48:03","00:48:03"
"60","00:48:03","00:48:55"
"meta: 60--62","00:48:55","00:48:57"
"62","00:48:57","00:51:26"
"63","00:51:26","00:52:03"
"meta: 63--65","00:52:03","00:52:09"
"65","00:52:09","00:52:15"
"66","00:52:15","00:52:31"
"meta: 66--70","00:52:31","00:52:34"
"70","00:52:34","00:52:34"
"meta: 70--73","00:52:34","00:54:16"
"73","00:54:16","00:54:40"
"meta: 73--77","00:54:40","00:54:45"
"77","00:54:45","00:56:00"
"meta: 77--79","00:56:0","00:56:06"
"79","00:56:06","00:56:16"
"meta: 79--81","00:56:16","00:56:25"
"81","00:56:25","00:57:01"
"meta: 81--86","00:57:01","00:57:34"
"86","00:57:34","00:57:34"
"meta: 86--88","00:57:34","00:57:42"
"88","00:57:42","00:57:47"
"meta: 88--90","00:57:47","00:58:09"
"90","00:58:09","00:59:07"
"91","00:59:07","01:00:52"
"meta: 91--93","01:00:52","01:00:57"
"93","01:00:57","01:07:01"
"meta: 93--100","01:07:01","01:07:39"
"100","01:07:39","01:14:26"
"meta: 100--107","01:14:26","01:16:53"
"107","01:16:53","01:17:06"
"meta: 107--112","01:17:06","01:17:28"
"112","01:17:28","01:24:08"
"meta: 112--114","01:24:08","01:24:18"
"114","01:24:18","01:24:28"
"115","01:24:28","01:24:36"
"meta: 115--117","01:24:36","01:24:46"
"117","01:24:46","01:25:04"
"meta: 117--121","01:25:04","01:25:40"
"121","01:25:40","01:26:15"
"meta: 121--124","01:26:15","01:26:38"
"124","01:26:38","01:27:01"
"meta: 124--127","01:27:01","01:27:19"
"127","01:27:19","01:28:24"
"128","01:28:24","01:28:30"
"129","01:28:30","01:28:30"
"130","01:28:30","01:29:20"
"meta: 130--132","01:29:20","01:29:39"
"132","01:29:39","01:49:38"
"133","01:49:38","01:54:59"
"meta: 133--138","01:54:59","01:55:46"
"138","01:55:46","01:56:26"
"meta: 138--141","01:56:26","01:56:42"
"141","01:56:42","01:56:42"
"meta: 141--143","01:56:42","01:57:54"
"143","01:57:54","01:57:54"
"144","01:57:54","02:00:34"
"meta: 144--148","02:00:34","02:10:36"
"148","02:10:36","02:13:48"
"meta: 148--150","02:13:48","02:13:56"
"150","02:13:56","02:13:58"
