"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"1","CAPTAIN TYPHO","[37,50,3]","[1,6,7,81,69,261,243]"
"2","PADME","[50,26,37,77,59,60,51,55,100,90,88,86,138,132,144,5,3]","[208,210,206,2,15,18,17,4,5,34,19,50,46,44,41,36,63,65,80,67,70,339,342,345,347,349,388,393,401,402,399,381,380,385,384,426,420,432,433,429,407,404,416,418,412,414,457,455,453,451,461,459,449,235,237,239,241,228,230,232,234,220,222,224,226,212,214,216,218,274,273,259,254,252,257,246,244,248,289,284,286,280,282,276,278,336,334,331,328,326,324,322,320,318,641,637,650,644,691,693,660,665,677,681,679,685,683,689,687,527,529,523,525,519,521,515,517,481,477,478,475,496,494,492,490,488,485,483,576,578,580,582,584,539,533,531,537,535,874,786,784,782,780,778,776,775,773,771,770,768,766,764,762,748,747,743,745,739,728,837,817,804,795,800,802,788,792]"
"3","CORDÉ","[3]","[3]"
"4","MAS AMEDDA","[132,5]","[8,717,760,751,754,724]"
"5","PALPATINE","[37,26,132,112,144,5]","[14,16,10,9,32,28,26,24,21,22,49,47,45,42,40,51,54,704,713,718,879,877,759,752,727,723]"
"6","SENATOR ASK AAK","[132,5]","[11,715,722,726]"
"7","AMBASSADOR DARSANA","[5]","[12]"
"8","ORN FREE TAA","[132,5]","[13,20,757]"
"9","MACE WINDU","[37,26,5,77,51,138,133,132,112,144]","[89,87,93,91,29,25,23,48,37,35,52,466,463,707,710,714,721,474,472,470,468,571,573,567,880,749,741,835,830,826,824]"
"10","YODA","[37,5,26,77,51,50,132,112,148,138,144]","[90,88,94,92,33,30,27,39,53,434,465,442,440,438,435,448,446,706,709,719,572,569,884,883,871,872,750,838,839]"
"11","DAR WAC","[26]","[31]"
"12","KI-ADI-MUNDI","[37,133]","[832,38]"
"13","BAIL ORGANA","[37,112,132]","[43,702,712,716,720]"
"14","JAR JAR","[37,132]","[84,207,209,60,61,55,57,58,82,211,758,755,756,753,725]"
"15","OBI-WAN","[50,37,77,55,59,51,107,81,133,132,112,141,143,144,148]","[85,97,95,101,99,105,103,110,107,108,114,112,116,118,120,122,124,126,128,130,132,133,134,136,138,140,142,144,145,154,152,150,147,162,160,158,156,170,168,165,164,177,175,173,171,183,185,179,181,191,193,187,189,202,196,198,205,64,62,56,79,75,77,71,73,68,355,357,359,361,364,366,369,373,371,378,376,464,441,439,437,447,268,260,266,263,251,255,249,304,300,302,297,292,294,315,313,311,309,307,635,600,598,596,595,609,607,605,603,611,700,701,703,705,708,711,512,514,508,510,503,506,500,473,471,469,467,564,565,566,568,570,593,545,543,557,561,559,550,548,554,552,869,881,882,855,858,853,861,737,845,850,849,847,841,829,812,814,806,808]"
"16","ANAKIN","[50,37,77,59,60,51,55,107,100,91,90,88,86,79,132,141,143,144]","[86,83,98,96,102,100,106,104,109,113,111,115,117,119,121,123,125,127,129,131,135,137,139,141,143,146,153,151,149,148,161,159,157,155,169,167,166,163,178,176,174,172,184,186,180,182,188,200,195,203,66,59,76,78,72,74,340,346,348,350,390,392,382,423,425,431,427,428,430,409,406,458,456,454,452,462,460,450,236,238,240,242,227,229,231,233,219,221,223,225,213,215,217,272,271,253,258,256,250,287,288,290,283,285,279,281,275,277,325,323,321,319,317,632,628,630,639,642,647,652,618,616,614,626,621,622,694,696,698,662,659,666,663,668,528,530,524,526,520,522,516,518,482,479,480,476,497,495,493,491,489,487,486,484,574,575,577,579,581,583,540,534,532,538,536,868,856,854,866,767,765,763,761,744,746,740,742,738,846,844,843,848,842,811,813,816,818,803,805,807,799,801]"
"17","ELAN SLEAZEBAGGANO","[37]","[190,194,192]"
"18","ZAM WESSEL","[37]","[204,197,201,199]"
"19","DORME","[50]","[247,245]"
"20","PK-4","[50]","[267,264,265,262]"
"21","SERVER","[50]","[269]"
"22","FOOD SERVER","[50]","[270]"
"23","HERMIONE BAGWA","[50]","[293,291,295,299]"
"24","DEXTER JETTSTER","[50]","[303,306,305,301,296,298,316,314,312,310,308]"
"25","QUEEN JAMILLIA","[50]","[341,343,352,353,338,335,333,330,327]"
"26","SIO BIBBLE","[50]","[344,351,337,332,329]"
"27","JOCASTA NU","[50]","[356,358,360,362,363,365,367,368,370,354,374,372,377,375,379]"
"28","RYOO & POOJA","[50]","[383,386]"
"29","SOLA","[50]","[389,387,398,415,413,411,417]"
"30","JOBAL","[50]","[391,397,395,400,419,421,403]"
"31","RUWEE","[50]","[394,396,424,422,408,405,410]"
"32","CHILDREN","[50]","[444,436]"
"33","JEDI CHILD JACK","[50]","[443]"
"34","JEDI CHILD MAY","[50]","[445]"
"35","TAUN WE","[77,59,55]","[606,499,501,502,498,563,589,591,586,585,551]"
"36","LAMA SU","[77,59,81]","[634,511,513,507,509,504,505,541,542,546,544,558,556,555,562,560,549,547,553]"
"37","BOBA FETT","[77,100,81]","[587,588,672,674,670,613,636]"
"38","JANGO FETT","[100,77,132]","[602,601,599,597,610,608,604,612,669,673,671,675,590,592,594,790]"
"39","WATTO","[79,77]","[620,619,624,623,625,615,617,629,627,633,631]"
"40","THREEPIO","[100,86,133,132,141]","[640,638,643,645,646,692,678,676,682,680,686,684,690,688,769,735,731,732,733,729,840,828,821,822]"
"41","OWEN","[100,91,90,88,132]","[648,658,651,664,667,734,730]"
"42","BERU","[88,132]","[649,736]"
"43","CLIEGG","[88,90]","[661,654,653,657,656,655]"
"44","SHMI","[107,100]","[699,697,695]"
"45","COUNT DOOKU","[138,133,132,144]","[873,867,870,876,878,857,852,864,863,865,860,859,862,785,783,781,779,777,774,772,836,827,833,834,820,825,823,787,789,791]"
"46","SUN RIT","[132]","[793,809]"
"47","POGGLE","[132]","[794,798,796,810]"
"48","NUTE GUNRAY","[132]","[797,815,819]"
"49","PLO KOON","[133]","[831]"
