"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"112","room","[37]","[104,187]"
"113","dreams","[37,50]","[112,290,285]"
"114","lost","[37,50]","[123,158,162,165,440,358]"
"115","speeder","[37,91,143]","[125,664,850]"
"116","cockpit","[37]","[125]"
"117","wait","[37,77,50,132]","[133,614,287,324,722,721,749,737,771]"
"118","close","[37,55,77]","[138,486,601]"
"119","make","[37,51,77,60,59,55,107,132,144]","[151,453,549,542,529,506,492,594,698,201,749,737,783,781,863]"
"120","worked","[37,50,132]","[153,214,410,786]"
"121","deeply","[37,51,132]","[166,457,804]"
"122","love","[37,51,55,107,50,132]","[182,449,494,699,288,283,282,281,759,804,803,802,805]"
"123","listen","[55,37]","[490,489,183]"
"124","military","[37]","[214]"
"125","manages","[37]","[225]"
"126","move","[50,37,144]","[429,227,338,334,853]"
"127","windu","[37,132,138,133]","[227,750,746,833,823,825]"
"128","powers","[37,132,144]","[240,722,718,717,749,760,755,857,867]"
"129","laughing","[37,50]","[240,318,311,417]"
"130","dorme","[50]","[244]"
"131","padme","[55,77,100,86,88,91,50,132,141]","[489,581,690,640,650,663,676,251,409,395,400,383,731,734,813,843]"
"132","suddenly","[50]","[257]"
"133","droids","[77,100,107,112,50,132,133]","[556,614,678,701,703,312,311,310,270,720,829,827]"
"134","forward","[77,50]","[611,277]"
"135","things","[55,50,132,133]","[494,319,280,325,784,814,828]"
"136","people","[60,91,100,50,132]","[526,527,663,676,281,351,323,324,781]"
"137","kamino","[59,50]","[502,311,309,308,367,366]"
"138","part","[59,112,50]","[505,704,311,351,322]"
"139","leave","[100,50,144]","[676,317,353,852]"
"140","city","[55,50]","[498,319]"
"141","sound","[50]","[320]"
"142","high","[50,144]","[322,862]"
"143","office","[50,132]","[322,323,759]"
"144","hand","[77,50,132,112]","[544,327,731,707]"
"145","formation","[50]","[332]"
"146","turn","[55,50,132]","[486,334,789,776]"
"147","trade","[107,112,50,132]","[701,702,334,337,786]"
"148","federation","[112,107,50,132]","[702,701,334,337,339,786]"
"149","told","[77,50]","[606,582,340,411,353]"
"150","face","[50]","[356]"
"151","lightsaber","[107,50]","[700,363]"
"152","movement","[77,50]","[562,410,363]"
"153","planet","[51,50,132]","[450,445,440,446,439,432,375,366,822]"
"154","street","[50]","[370]"
"155","head","[50]","[377]"
"156","sola","[50]","[416,414,388,399]"
"157","full","[50,59,112]","[432,509,703]"
"158","sees","[50]","[434]"
"159","area","[50]","[441]"
"160","moves","[51]","[455]"
"161","smart","[60]","[522]"
"162","starts","[77]","[546]"
"163","lives","[77,132,138]","[546,804,803,834]"
"164","night","[77]","[578]"
"165","door","[77]","[601]"
"166","yelling","[77]","[615]"
"167","miss","[100,86,132]","[690,640,676,731]"
"168","hands","[88]","[648]"
"169","expression","[100]","[684]"
"170","building","[112]","[702]"
"171","empty","[132]","[770]"
"172","palpatine","[132]","[784]"
"173","hard","[132]","[789]"
"174","arena","[132]","[809,798]"
"175","land","[143]","[846]"
"176","stand","[144]","[852]"
