SOURCE NODE ID,TARGET NODE ID,SOURCE SCENE ID,TARGET SCENE ID
"162","163","1","2"
"162","201","54","53"
"162","202","54","55"
"163","162","2","1"
"163","164","2","3"
"163","164","130","129"
"163","214","104","103"
"163","224","135","134"
"163","224","133","134"
"163","231","133","132"
"163","236","104","105"
"163","236","106","105"
"163","237","106","107"
"163","240","130","131"
"163","241","135","136"
"164","163","129","130"
"164","163","3","2"
"164","165","3","4"
"164","231","129","128"
"165","164","4","3"
"165","166","4","5"
"165","171","12","11"
"165","172","12","13"
"166","165","5","4"
"166","167","5","6"
"167","166","6","5"
"167","168","6","7"
"168","167","7","6"
"168","169","7","8"
"168","170","10","9"
"168","171","10","11"
"168","174","16","15"
"168","175","16","17"
"169","168","8","7"
"169","170","8","9"
"170","168","9","10"
"170","169","9","8"
"171","165","11","12"
"171","168","11","10"
"172","165","13","12"
"172","173","13","14"
"173","172","14","13"
"173","174","14","15"
"174","168","15","16"
"174","173","15","14"
"175","168","17","16"
"175","176","17","18"
"175","176","19","18"
"175","177","19","20"
"176","175","18","17"
"176","175","18","19"
"177","175","20","19"
"177","178","20","21"
"178","177","21","20"
"178","179","21","22"
"179","178","22","21"
"179","180","22","23"
"180","179","23","22"
"180","181","23","24"
"180","184","29","28"
"180","185","29","30"
"181","180","24","23"
"181","182","24","25"
"181","182","26","25"
"181","183","26","27"
"182","181","25","24"
"182","181","25","26"
"182","185","35","34"
"182","185","33","34"
"182","185","31","30"
"182","186","31","32"
"182","186","33","32"
"182","186","39","38"
"182","187","35","36"
"182","189","39","40"
"183","181","27","26"
"183","184","27","28"
"184","180","28","29"
"184","183","28","27"
"185","180","30","29"
"185","182","34","33"
"185","182","30","31"
"185","182","34","35"
"186","182","32","31"
"186","182","32","33"
"186","182","38","39"
"186","188","38","37"
"187","182","36","35"
"187","188","36","37"
"188","186","37","38"
"188","187","37","36"
"189","182","40","39"
"189","190","40","41"
"190","189","41","40"
"190","191","41","42"
"191","190","42","41"
"191","192","42","43"
"192","191","43","42"
"192","193","43","44"
"192","224","99","100"
"192","233","99","98"
"193","192","44","43"
"193","194","44","45"
"194","193","45","44"
"194","195","45","46"
"194","224","111","112"
"194","233","111","110"
"195","194","46","45"
"195","196","46","47"
"196","195","47","46"
"196","197","47","48"
"197","196","48","47"
"197","198","49","50"
"198","197","50","49"
"198","199","50","51"
"199","198","51","50"
"199","200","51","52"
"199","223","79","78"
"199","224","81","80"
"199","224","79","80"
"199","225","81","82"
"200","199","52","51"
"200","201","52","53"
"201","162","53","54"
"201","200","53","52"
"202","162","55","54"
"202","203","55","56"
"203","202","56","55"
"203","204","56","57"
"204","203","57","56"
"204","205","57","58"
"205","204","58","57"
"205","206","58","59"
"205","206","60","59"
"205","207","60","61"
"206","205","59","58"
"206","205","59","60"
"206","231","127","128"
"206","231","127","126"
"207","205","61","60"
"207","208","61","62"
"208","207","62","61"
"208","209","62","63"
"208","214","114","113"
"208","226","87","88"
"208","227","87","86"
"208","233","114","115"
"209","208","63","62"
"209","210","63","64"
"210","209","64","63"
"210","211","64","65"
"211","210","65","64"
"211","212","65","66"
"212","211","66","65"
"212","213","66","67"
"212","214","69","68"
"212","215","69","70"
"213","212","67","66"
"213","214","67","68"
"214","163","103","104"
"214","208","113","114"
"214","212","68","69"
"214","213","68","67"
"214","224","113","112"
"214","231","124","123"
"214","233","121","122"
"214","233","116","115"
"214","235","103","102"
"214","237","116","117"
"214","238","121","120"
"214","239","124","125"
"215","212","70","69"
"215","216","70","71"
"216","215","71","70"
"216","217","71","72"
"217","216","72","71"
"217","218","72","73"
"218","217","73","72"
"218","219","73","74"
"219","218","74","73"
"219","220","74","75"
"220","219","75","74"
"220","221","75","76"
"221","220","76","75"
"221","222","76","77"
"222","221","77","76"
"222","223","77","78"
"223","199","78","79"
"223","222","78","77"
"224","163","134","133"
"224","163","134","135"
"224","192","100","99"
"224","194","112","111"
"224","199","80","81"
"224","199","80","79"
"224","214","112","113"
"224","230","92","91"
"224","231","92","93"
"224","231","94","93"
"224","231","108","109"
"224","232","94","95"
"224","234","100","101"
"224","237","108","107"
"225","199","82","81"
"225","226","82","83"
"226","208","88","87"
"226","225","83","82"
"226","227","85","86"
"226","227","85","84"
"226","227","83","84"
"226","228","88","89"
"227","208","86","87"
"227","226","84","85"
"227","226","86","85"
"227","226","84","83"
"228","226","89","88"
"228","229","89","90"
"228","231","97","96"
"228","233","97","98"
"229","228","90","89"
"229","230","90","91"
"230","224","91","92"
"230","229","91","90"
"231","163","132","133"
"231","164","128","129"
"231","206","128","127"
"231","206","126","127"
"231","214","123","124"
"231","224","109","108"
"231","224","93","94"
"231","224","93","92"
"231","228","96","97"
"231","232","96","95"
"231","233","123","122"
"231","233","109","110"
"231","239","126","125"
"231","240","132","131"
"232","224","95","94"
"232","231","95","96"
"233","192","98","99"
"233","194","110","111"
"233","208","115","114"
"233","214","122","121"
"233","214","115","116"
"233","228","98","97"
"233","231","110","109"
"233","231","122","123"
"233","238","119","118"
"233","238","119","120"
"234","224","101","100"
"234","235","101","102"
"235","214","102","103"
"235","234","102","101"
"236","163","105","106"
"236","163","105","104"
"237","163","107","106"
"237","214","117","116"
"237","224","107","108"
"237","238","117","118"
"238","214","120","121"
"238","233","118","119"
"238","233","120","119"
"238","237","118","117"
"239","214","125","124"
"239","231","125","126"
"240","163","131","130"
"240","231","131","132"
"241","163","136","135"
"241","242","136","137"
"242","241","137","136"
"242","243","137","138"
"243","242","138","137"
