SOURCE NODE ID,TARGET NODE ID,SOURCE SCENE ID,TARGET SCENE ID
"217","216","119","118"
"217","218","140","141"
"217","218","119","120"
"217","228","140","139"
"218","217","141","140"
"218","217","120","119"
"218","219","120","121"
"218","229","141","142"
"218","229","143","142"
"218","230","143","144"
"218","265","205","204"
"218","266","205","206"
"218","269","212","213"
"218","270","212","211"
"219","215","121","122"
"219","218","121","120"
"220","189","123","124"
"220","215","123","122"
"221","189","125","124"
"221","215","125","126"
"222","215","127","128"
"222","215","127","126"
"223","188","268","269"
"223","189","266","265"
"223","215","129","130"
"223","215","129","128"
"223","215","268","267"
"223","215","266","267"
"224","215","131","130"
"224","225","131","132"
"225","224","132","131"
"225","226","132","133"
"226","215","133","134"
"226","225","133","132"
"227","215","135","136"
"227","215","135","134"
"228","215","137","136"
"228","215","139","138"
"228","215","137","138"
"228","217","139","140"
"228","229","164","165"
"228","242","164","163"
"229","218","142","141"
"229","218","142","143"
"229","228","165","164"
"229","243","165","166"
"230","192","144","145"
"230","218","144","143"
"231","192","146","145"
"231","215","146","147"
"231","239","159","158"
"231","240","159","160"
"232","188","176","177"
"232","215","148","147"
"232","233","148","149"
"232","250","176","175"
"233","232","149","148"
"233","234","149","150"
"234","189","150","151"
"234","233","150","149"
"235","189","152","151"
"235","192","152","153"
"236","192","154","153"
"236","237","155","156"
"237","236","156","155"
"237","238","156","157"
"238","237","157","156"
"238","239","157","158"
"238","240","161","160"
"238","241","161","162"
"239","231","158","159"
"239","238","158","157"
"240","231","160","159"
"240","238","160","161"
"241","238","162","161"
"241","242","162","163"
"242","228","163","164"
"242","241","163","162"
"243","229","166","165"
"243","244","166","167"
"244","243","167","166"
"244","245","167","168"
"245","244","168","167"
"245","246","168","169"
"246","245","169","168"
"246","247","169","170"
"247","215","170","171"
"247","246","170","169"
"248","215","172","173"
"248","215","172","171"
"249","215","174","173"
"249","250","174","175"
"250","232","175","176"
"250","249","175","174"
"251","195","182","181"
"251","252","182","183"
"252","251","183","182"
"252","253","183","184"
"253","215","184","185"
"253","252","184","183"
"254","215","186","185"
"254","255","186","187"
"255","254","187","186"
"255","256","191","190"
"255","256","187","188"
"255","257","193","194"
"255","258","191","192"
"255","258","193","192"
"255","282","238","239"
"255","283","238","237"
"256","255","190","191"
"256","255","188","187"
"256","257","188","189"
"256","257","190","189"
"257","255","194","193"
"257","256","189","190"
"257","256","189","188"
"257","259","214","215"
"257","259","194","195"
"257","259","196","195"
"257","260","196","197"
"257","262","202","201"
"257","264","202","203"
"257","269","219","218"
"257","269","214","213"
"257","273","219","220"
"257","273","221","220"
"257","274","221","222"
"257","277","227","226"
"257","278","227","228"
"258","255","192","193"
"258","255","192","191"
"259","257","195","196"
"259","257","195","194"
"259","257","215","214"
"259","271","215","216"
"260","257","197","196"
"260","261","197","198"
"261","260","198","197"
"261","262","198","199"
"262","257","201","202"
"262","261","199","198"
"262","263","199","200"
"262","263","201","200"
"263","262","200","201"
"263","262","200","199"
"264","257","203","202"
"264","265","203","204"
"265","218","204","205"
"265","264","204","203"
"266","218","206","205"
"266","267","206","207"
"266","268","209","208"
"266","269","209","210"
"267","266","207","206"
"267","268","207","208"
"268","266","208","209"
"268","267","208","207"
"269","218","213","212"
"269","257","218","219"
"269","257","213","214"
"269","266","210","209"
"269","270","210","211"
"269","272","218","217"
"269","274","223","222"
"269","275","223","224"
"270","218","211","212"
"270","269","211","210"
