SOURCE NODE ID,TARGET NODE ID,SCENE ID,DIALOGUE ID
"1","54","272","320"
"1","54","272","321"
"1","54","272","318"
"1","54","272","319"
"1","54","272","275"
"1","54","275","675"
"1","54","275","831"
"1","54","275","833"
"1","54","275","836"
"1","54","275","835"
"1","54","275","674"
"1","54","89","5"
"1","54","82","1"
"1","54","89","3"
"1","54","272","191"
"1","54","272","195"
"1","54","272","190"
"1","54","272","206"
"1","54","272","202"
"1","54","272","197"
"1","54","272","225"
"1","54","272","217"
"1","54","272","232"
"1","54","272","227"
"1","54","272","231"
"1","54","272","229"
"1","54","272","272"
"1","54","272","273"
"1","54","272","274"
"1","54","272","271"
"1","55","89","3"
"1","56","272","319"
"1","56","89","3"
"1","57","272","365"
"1","59","275","835"
"1","59","194","154"
"1","61","272","348"
"1","63","272","361"
"1","66","275","622"
"1","68","272","328"
"1","68","272","481"
"1","68","275","831"
"1","68","272","217"
"1","75","272","357"
"1","78","275","788"
"1","78","275","802"
"1","78","275","787"
"1","78","275","563"
"1","78","275","637"
"1","78","275","624"
"1","79","272","375"
"1","79","275","524"
"1","79","275","630"
"1","82","272","479"
"1","83","272","346"
"1","84","272","380"
"1","84","272","368"
"1","84","272","370"
"1","84","272","323"
"1","84","272","322"
"1","84","272","325"
"1","84","272","324"
"1","84","272","329"
"1","84","272","326"
"1","84","272","327"
"1","84","275","640"
"1","84","272","274"
"1","84","272","268"
"1","84","272","270"
"1","84","272","271"
"1","86","272","431"
"1","86","194","151"
"1","87","272","437"
"1","87","272","427"
"1","87","272","425"
"1","87","272","347"
"1","87","275","630"
"1","87","180","97"
"1","90","272","197"
"1","90","272","206"
"1","90","272","202"
"1","90","272","225"
"1","97","275","524"
"1","104","272","320"
"1","105","272","275"
"1","106","194","151"
"1","109","272","346"
"1","112","275","640"
"1","116","272","479"
"1","116","275","824"
"1","118","272","361"
"1","121","275","640"
"1","121","272","199"
"1","121","272","229"
"1","124","272","197"
"1","126","272","197"
"1","127","272","197"
"1","128","272","321"
"1","138","272","350"
"1","141","272","361"
"1","146","272","431"
"2","54","89","4"
"2","54","82","2"
"2","54","194","129"
