DIALOGUE ID,START TIME,END TIME
"174","01:22:16","01:22:17"
"175","01:22:16","01:22:17"
"176","01:22:16","01:22:17"
"177","01:22:16","01:22:17"
"178","01:22:16","01:22:17"
"179","01:22:16","01:22:17"
"180","01:22:16","01:22:17"
"181","01:22:16","01:22:17"
"182","01:22:16","01:22:17"
"183","01:22:16","01:22:17"
"184","01:22:16","01:22:17"
"185","01:22:16","01:22:17"
"186","01:22:16","01:22:17"
"187","01:22:16","01:22:17"
"188","01:22:16","01:22:17"
"189","01:22:16","01:22:17"
"190","01:22:16","01:22:17"
"191","01:22:16","01:22:17"
"192","01:22:16","01:22:17"
"193","01:22:16","01:22:17"
"194","01:22:16","01:22:17"
"195","01:22:16","01:22:17"
"196","01:22:16","01:22:17"
"197","01:22:16","01:22:17"
"198","01:22:16","01:22:17"
"199","01:22:16","01:22:17"
"200","01:22:16","01:22:17"
"201","01:22:16","01:22:17"
"202","01:22:16","01:22:17"
"203","01:22:16","01:22:17"
"204","01:22:16","01:22:17"
"205","01:22:16","01:22:17"
"206","01:22:16","01:22:17"
"207","01:22:16","01:22:17"
"208","01:22:16","01:22:17"
"209","01:22:16","01:22:17"
"210","01:22:16","01:22:17"
"211","01:22:16","01:22:17"
"212","01:22:16","01:22:17"
"213","01:22:16","01:22:17"
"214","01:22:16","01:22:17"
"215","01:22:16","01:22:17"
"216","01:22:16","01:22:17"
"217","01:22:16","01:22:17"
"218","01:22:16","01:22:17"
"219","01:22:16","01:22:17"
"220","01:22:16","01:22:17"
"221","01:22:16","01:22:17"
"222","01:22:16","01:22:17"
"223","01:22:16","01:22:17"
"224","01:22:16","01:22:17"
"225","01:22:16","01:22:17"
"226","01:22:16","01:22:17"
"227","01:22:16","01:22:17"
"228","01:22:16","01:22:17"
"229","01:22:16","01:22:17"
"230","01:22:16","01:22:17"
"231","01:22:16","01:22:17"
"232","01:22:16","01:22:17"
"233","01:22:16","01:22:17"
"234","01:22:16","01:22:17"
"235","01:22:16","01:22:17"
"236","01:22:16","01:22:17"
"237","01:22:16","01:22:17"
"238","01:22:16","01:22:17"
"239","01:22:16","01:22:17"
"240","01:22:16","01:22:17"
"241","01:22:16","01:22:17"
"242","01:22:16","01:22:17"
"243","01:22:16","01:22:17"
"244","01:22:16","01:22:17"
"245","01:22:16","01:22:17"
"246","01:22:16","01:22:17"
"247","01:22:16","01:22:17"
"248","01:22:16","01:22:17"
"249","01:22:16","01:22:17"
"250","01:22:16","01:22:17"
"251","01:22:16","01:22:17"
"252","01:22:16","01:22:17"
"253","01:22:16","01:22:17"
"254","01:22:16","01:22:17"
"255","01:22:16","01:22:17"
"256","01:22:16","01:22:17"
"257","01:42:16","01:42:19"
"258","01:42:16","01:42:19"
"259","01:42:16","01:42:19"
"260","01:42:16","01:42:19"
"261","01:42:16","01:42:19"
"262","01:42:16","01:42:19"
"263","01:42:16","01:42:19"
"264","01:42:16","01:42:19"
"265","01:42:16","01:42:19"
"266","01:42:16","01:42:19"
"267","01:56:42","01:56:44"
"268","01:56:42","01:56:44"
"269","01:56:42","01:56:44"
"270","01:56:42","01:56:44"
"271","02:00:19","02:00:23"
"272","02:00:19","02:00:23"
"273","02:00:19","02:00:23"
"274","02:00:19","02:00:23"
"275","02:00:19","02:00:23"
"276","02:00:19","02:00:23"
"277","02:00:19","02:00:23"
"278","02:00:19","02:00:23"
"279","02:00:19","02:00:23"
"280","02:00:19","02:00:23"
"281","02:00:19","02:00:23"
"282","02:00:19","02:00:23"
"283","02:00:19","02:00:23"
"284","02:00:19","02:00:23"
"285","02:00:19","02:00:23"
"286","02:00:19","02:00:23"
"287","02:00:19","02:00:23"
"288","02:00:19","02:00:23"
"289","02:00:19","02:00:23"
