"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"1","LUKE","[275,273,272,251,180,194,151,89,82]","[158,156,154,153,206,200,202,197,196,199,193,195,194,191,190,184,186,106,97,91,88,95,93,151,329,328,318,319,324,325,326,327,320,321,322,323,232,217,227,225,231,229,268,271,270,273,272,275,274,437,429,431,425,427,443,441,353,355,357,359,347,346,348,350,368,370,373,375,361,363,365,377,380,565,567,563,571,569,479,481,483,485,486,488,522,526,524,531,528,532,761,788,784,787,786,780,782,778,759,833,835,836,824,826,831,802,822,820,637,632,634,640,643,622,630,627,624,3,1,6,7,5,675,674,86,84]"
"2","HAN SOLO","[272,251,219,180,194,151,82,89]","[157,155,115,112,113,118,107,105,110,108,98,96,101,89,94,92,149,129,131,133,124,127,303,300,298,296,308,306,304,286,283,280,281,294,292,293,290,291,288,334,341,343,336,338,317,312,314,235,233,237,241,222,265,264,267,276,278,254,255,257,259,263,453,451,448,446,471,468,466,465,463,460,461,459,457,345,386,385,384,390,388,383,402,400,405,394,392,398,396,541,543,549,551,545,547,557,559,553,555,560,574,573,580,581,578,588,587,585,596,594,473,476,501,500,502,506,507,504,647,654,649,651,656,606,604,600,612,610,608,696,702,706,708,716,721,723,724,726,2,665,4,669,673,11,690,9,8,694,692,58,63,60,66,70,68,73,24,26,28,30,32,34,36,38,40,43,45,47,49,51,53,55,15,13,22,20,19,17]"
"3","RIEEKAN","[194,89]","[178,160,128,134,121,120,218,220,10,14,12,18,16]"
"4","LEIA","[272,219,194,89]","[176,174,172,114,116,111,109,130,132,123,301,299,297,309,305,287,285,295,340,342,316,313,234,239,236,242,221,266,277,258,262,454,452,449,447,470,469,467,462,458,456,344,387,391,389,403,401,395,393,399,397,548,550,544,546,556,558,552,554,561,582,577,584,598,592,475,477,503,510,508,789,791,741,738,735,751,748,746,744,800,807,804,805,793,798,799,808,652,653,655,648,650,661,657,659,698,700,704,709,725,667,691,693,25,27,29,31,33,35,37,39,23,21]"
"5","THREEPIO","[272,219,194,89]","[119,104,103,126,302,311,310,307,284,289,335,337,339,315,238,244,223,279,251,252,253,256,260,261,455,450,445,464,382,381,406,404,540,542,583,576,591,586,472,474,499,505,509,772,773,775,770,771,767,743,740,757,756,755,754,752,749,828,829,818,817,816,602,601,614,620,618,616,617,715,720,722,727,677,676,689,56,62,64,75,74,77,82,81,41,42,44,46,48,50,52,54]"
"6","DECK OFFICER","[89]","[72,69,65,67,61,57,59]"
"7","ASSISTANT OFFICER","[89]","[71]"
"8","LIEUTENANT","[89]","[80,76]"
"9","DERLIN","[194,89]","[177,79,78]"
"10","BEN","[272,89]","[636,639,633,645,641,631,628,626,83,87,85]"
"11","HAN SOLO","[194,89]","[90,250]"
"12","ZEV","[194,89]","[99,102,100,226,230,228]"
"13","ANNOUNCER","[194,89]","[182,117,240]"
"14","SENIOR CONTROLLER","[89]","[125,122]"
"15","PIETT","[272,194,89,151]","[171,169,137,139,141,143,135,333,331,413,409,411,537,539,491,493,495,498,535,827,811,815,813]"
"16","OZZEL","[194,89,151]","[167,145,136,138,140]"
"17","VADER","[272,194,89,151]","[170,168,165,163,161,144,146,142,332,330,420,422,416,418,412,414,408,410,424,536,538,496,534,764,765,760,762,763,785,781,783,777,776,779,736,734,732,730,728,758,825,796,819,821,814,812,710,712,714,719,671,679,683,681,687,685]"
"18","REBEL CAPTAIN","[151]","[147]"
"19","REBEL FIGHTER","[151]","[148]"
"20","MEDICAL DROID","[151]","[150,152]"
"21","CONTROLLER","[194]","[179,159,189]"
"22","VEERS","[194]","[166,164,162,201,247,224,249]"
"23","HOBBIE","[194]","[173]"
"24","PILOT","[194]","[175,248]"
"25","CAPTAIN","[194]","[180]"
"26","WOMAN CONTROLLER","[194]","[181]"
"27","DACK","[194]","[183,198,192,185]"
"28","TRENCH OFFICER","[194]","[215,188,187]"
"29","WEDGE","[251,194]","[213,209,205,207,203,216,269]"
"30","LUKE","[194]","[204]"
"31","WEDGE","[194]","[208]"
"32","JANSON","[194]","[212,214,210,211]"
"33","LEIA","[194]","[219]"
"34","HEAD CONTROLLER","[194]","[243]"
"35","OFFICER","[194]","[245]"
"36","SECOND OFFICER","[194]","[246]"
"37","IMPERIAL OFFICER","[272]","[731,282]"
"38","STRANGE VOICE","[272]","[349]"
"39","CREATURE","[272]","[432,428,430,426,352,354,356,358,351,369,371,372,374,360,362,364,366,367,379,378,376]"
"40","NEEDA","[272]","[407,511,514,512,517]"
"41","EMPEROR","[272]","[421,423,417,419,415]"
"42","BEN'S VOICE","[272]","[439,433,625,435]"
"43","YODA","[272]","[436,438,434,444,442,440,564,566,562,572,570,568,478,480,482,484,487,489,490,519,523,521,520,527,525,530,529,533,638,635,644,646,642,623,621,629]"
"44","FIRST CONTROLLER","[272]","[492]"
"45","SECOND CONTROLLER","[272]","[494]"
"46","BOBA FETT","[272]","[497,753,680,718]"
"47","TRACKING OFFICER","[272]","[513,515]"
"48","COMMUNICATIONS OFFICER","[272]","[516,518]"
"49","INTERCOM VOICE","[272]","[579,575]"
"50","LANDO","[274,272]","[590,589,599,597,595,593,774,768,769,766,790,742,739,737,733,729,750,747,745,832,834,830,803,801,806,794,795,792,797,823,810,809,660,662,663,658,607,605,603,613,611,609,697,699,701,703,705,707,713,717,666,664,670,668,672,678,682,686,684,688,695]"
"51","SECOND THREEPIO","[272]","[615]"
"52","MAN'S VOICE","[272]","[619]"
"53","IMPERIAL SOLDIER","[272]","[711]"
