SCENE ID,START TIME,END TIME
"meta: 0--3","00:00:00","00:03:06"
"3","00:03:06","00:03:55"
"meta: 3--6","00:03:55","00:03:59"
"6","00:03:59","00:06:12"
"7","00:06:12","00:07:02"
"8","00:07:02","00:07:06"
"9","00:07:06","00:07:46"
"10","00:07:46","00:08:26"
"meta: 10--14","00:08:26","00:10:35"
"14","00:10:35","00:10:43"
"meta: 14--16","00:10:43","00:10:53"
"16","00:10:53","00:10:56"
"17","00:10:56","00:14:59"
"meta: 17--19","00:14:59","00:15:37"
"19","00:15:37","00:15:40"
"meta: 19--21","00:15:40","00:15:53"
"21","00:15:53","00:16:16"
"meta: 21--24","00:16:16","00:16:48"
"24","00:16:48","00:18:22"
"25","00:18:22","00:18:57"
"meta: 25--27","00:18:57","00:19:32"
"27","00:19:32","00:19:46"
"meta: 27--29","00:19:46","00:20:37"
"29","00:20:37","00:21:31"
"30","00:21:31","00:21:31"
"meta: 30--33","00:21:31","00:21:35"
"33","00:21:35","00:22:26"
"34","00:22:26","00:22:55"
"35","00:22:55","00:24:02"
"36","00:24:02","00:24:30"
"meta: 36--39","00:24:30","00:24:47"
"39","00:24:47","00:24:52"
"meta: 39--42","00:24:52","00:24:58"
"42","00:24:58","00:25:03"
"43","00:25:03","00:25:09"
"meta: 43--46","00:25:09","00:25:24"
"46","00:25:24","00:25:45"
"meta: 46--48","00:25:45","00:26:04"
"48","00:26:04","00:26:13"
"49","00:26:13","00:26:13"
"meta: 49--51","00:26:13","00:26:32"
"51","00:26:32","00:26:34"
"meta: 51--53","00:26:34","00:26:39"
"53","00:26:39","00:26:47"
"meta: 53--55","00:26:47","00:26:51"
"55","00:26:51","00:26:58"
"meta: 55--60","00:26:58","00:27:26"
"60","00:27:26","00:27:44"
"meta: 60--66","00:27:44","00:28:53"
"meta: 75--77","00:28:11","00:29:12"
"66","00:28:53","00:28:55"
"67","00:28:55","00:28:57"
"68","00:28:57","00:28:58"
"69","00:28:58","00:28:59"
"meta: 69--71","00:28:59","00:29:04"
"71","00:29:04","00:29:05"
"meta: 71--73","00:29:05","00:29:07"
"73","00:29:07","00:29:09"
"meta: 73--75","00:29:09","00:29:10"
"75","00:29:10","00:28:11"
"77","00:29:12","00:29:13"
"meta: 77--79","00:29:13","00:29:115"
"79","00:29:15","00:29:16"
"meta: 79--81","00:29:16","00:29:18"
"81","00:29:18","00:29:20"
"82","00:29:20","00:29:29"
"83","00:29:29","00:29:32"
"84","00:29:32","00:29:39"
"85","00:29:39","00:30:00"
"meta: 85--87","00:30:00","00:30:24"
"87","00:30:24","00:30:29"
"meta: 87--89","00:30:29","00:30:33"
"89","00:30:33","00:30:36"
"90","00:30:36","00:30:36"
"91","00:30:36","00:30:38"
"meta: 91--93","00:30:38","00:30:40"
"93","00:30:40","00:30:43"
"94","00:30:43","00:30:47"
"95","00:30:47","00:30:50"
"meta: 95--97","00:30:50","00:30:57"
"97","00:30:57","00:30:59"
"98","00:30:59","00:32:12"
"99","00:32:12","00:32:17"
"meta: 99--104","00:32:17","00:33:15"
"104","00:33:15","00:33:29"
"meta: 104--106","00:33:29","00:34:00"
"106","00:34:00","00:34:00"
"meta: 106--108","00:34:00","00:34:05"
"108","00:34:05","00:34:29"
"109","00:34:29","00:34:37"
"meta: 109--112","00:34:37","00:34:55"
"112","00:34:55","00:35:06"
"113","00:35:06","00:35:15"
"meta: 113--116","00:35:15","00:35:29"
"116","00:35:29","00:35:38"
"meta: 116--118","00:35:38","00:36:01"
"118","00:36:01","00:36:16"
"meta: 118--120","00:36:16","00:36:24"
"120","00:36:24","00:36:45"
"meta: 120--122","00:36:45","00:37:01"
"122","00:37:01","00:37:17"
"meta: 122--124","00:37:17","00:37:21"
"124","00:37:21","00:37:27"
"meta: 124--126","00:37:27","00:37:35"
"126","00:37:35","00:37:57"
"meta: 126--129","00:37:57","00:38:01"
"129","00:38:01","00:38:33"
"130","00:38:33","00:38:59"
"meta: 130--134","00:38:59","00:39:29"
"134","00:39:29","00:39:41"
"meta: 134--136","00:39:41","00:40:08"
"136","00:40:08","00:40:19"
"meta: 136--138","00:40:19","00:40:29"
"138","00:40:29","00:40:33"
"meta: 138--141","00:40:33","00:40:44"
"141","00:40:44","00:41:02"
"meta: 141--143","00:41:02","00:41:13"
"143","00:41:13","00:41:17"
"144","00:41:17","00:44:16"
"145","00:44:16","00:45:01"
"meta: 145--147","00:45:01","00:45:12"
"147","00:45:12","00:46:19"
"148","00:46:19","00:50:06"
"149","00:50:06","00:52:13"
"meta: 149--151","00:52:13","00:52:19"
"151","00:52:19","00:52:53"
"meta: 151--153","00:52:53","00:53:09"
"153","00:53:09","00:53:33"
"meta: 153--155","00:53:33","00:53:37"
"155","00:53:37","00:57:47"
"meta: 155--158","00:57:47","00:58:20"
"158","00:58:20","00:58:42"
"159","00:58:42","00:59:18"
"160","00:59:18","01:00:25"
"161","01:00:25","01:00:46"
"meta: 161--165","01:00:46","01:01:20"
"165","01:01:20","01:03:16"
"meta: 165--169","01:03:16","01:06:02"
"169","01:06:02","01:06:27"
"meta: 169--171","01:06:27","01:06:37"
"171","01:06:37","01:06:40"
"meta: 171--173","01:06:40","01:06:45"
"173","01:06:45","01:07:28"
"meta: 173--175","01:07:28","01:07:34"
"175","01:07:34","01:08:19"
"176","01:08:19","01:11:20"
"meta: 176--178","01:11:20","01:11:23"
"178","01:11:23","01:14:18"
"meta: 178--180","01:14:18","01:14:38"
"180","01:14:38","01:16:11"
"meta: 180--182","01:16:11","01:16:50"
"182","01:16:50","01:18:18"
"meta: 182--185","01:18:18","01:18:38"
"185","01:18:38","01:19:11"
"meta: 185--188","01:19:11","01:20:01"
"188","01:20:01","01:20:12"
"meta: 188--190","01:20:12","01:20:27"
"190","01:20:27","01:20:27"
"191","01:20:27","01:20:56"
"192","01:20:56","01:20:59"
"193","01:20:59","01:21:55"
"194","01:21:55","01:22:35"
"195","01:22:35","01:22:44"
"meta: 195--197","01:22:44","01:23:09"
"197","01:23:09","01:25:29"
"meta: 197--199","01:25:29","01:26:17"
"199","01:26:17","01:26:17"
"meta: 199--201","01:26:17","01:26:27"
"201","01:26:27","01:27:51"
"202","01:27:51","01:28:24"
"203","01:28:24","01:28:52"
"meta: 203--205","01:28:52","01:29:09"
"205","01:29:09","01:29:12"
"206","01:29:12","01:30:28"
"meta: 206--208","01:30:28","01:31:04"
"208","01:31:04","01:31:43"
"209","01:31:43","01:33:54"
"210","01:33:54","01:34:28"
"meta: 210--213","01:34:28","01:34:52"
"213","01:34:52","01:38:17"
"214","01:38:17","01:39:59"
"meta: 214--218","01:39:59","01:40:46"
"218","01:40:46","01:40:53"
"219","01:40:53","01:42:51"
"220","01:42:51","01:42:56"
"221","01:42:56","01:43:25"
"222","01:43:25","01:43:40"
"223","01:43:40","01:45:01"
"meta: 223--226","01:45:01","01:47:14"
"226","01:47:14","01:47:45"
"227","01:47:45","01:48:28"
"228","01:48:28","01:49:03"
"229","01:49:03","01:49:15"
"meta: 229--232","01:49:15","01:50:08"
"232","01:50:08","01:52:13"
"meta: 232--235","01:52:13","01:53:23"
"235","01:53:23","01:53:55"
"236","01:53:55","01:54:09"
"meta: 236--238","01:54:09","01:54:22"
"238","01:54:22","01:54:22"
"meta: 238--241","01:54:22","01:54:33"
"241","01:54:33","01:55:24"
"meta: 241--246","01:55:24","01:55:26"
"246","01:55:26","01:55:26"
"meta: 246--248","01:55:26","01:55:45"
"248","01:55:45","01:55:45"
"meta: 248--250","01:55:45","01:56:24"
"250","01:56:24","01:56:24"
"251","01:56:24","01:57:01"
"meta: 251--253","01:57:01","01:57:07"
"253","01:57:07","01:57:22"
"254","01:57:22","01:57:44"
"meta: 254--257","01:57:44","01:57:56"
"257","01:57:56","01:57:58"
"258","01:57:58","01:58:02"
"259","01:58:02","01:58:09"
"meta: 259--262","01:58:09","01:58:28"
"262","01:58:28","01:58:28"
"263","01:58:28","01:58:50"
"264","01:58:50","01:58:50"
"265","01:58:50","01:58:58"
"266","01:58:58","01:59:12"
"meta: 266--268","01:59:12","01:59:15"
"268","01:59:15","01:59:17"
"meta: 268--272","01:59:17","02:00:14"
"272","02:00:14","02:00:23"
"273","02:00:23","02:00:25"
"274","02:00:25","02:00:29"
"275","02:00:29","02:00:33"
